generally,일반적으로
certificate,증명서
citizen,시민
longitude,경도
humble,겸손한
curious,호기심 많은
muscle,근육
economic,경제적인
conclusion,결론
heritage,유산
result,결과가 되다
emotional,감정적인
courage,용기
comfortable,편안한
meanwhile,그 동안에
research,연구하다
society,사회
assignment,과제
persuade,설득하다
architect,건축가
translator,번역가
protein,단백질
communicate,의사소통하다
independence,독립
actually,실제로
editor,편집자
probability,확률
equation,방정식
estimate,추정하다
election,선거
observe,관찰하다
interpreter,통역가
oxygen,산소
canyon,협곡
hurricane,허리케인
questionnaire,설문지
cautious,신중한
honesty,정직함
drought,가뭄
negotiate,협상하다
therapy,치료법
struggle,애쓰다
volume,부피
creative,창의적인
opportunity,기회
local,지역의
trade,무역
otherwise,그렇지 않으면
curiosity,호기심
strive,노력하다
calculate,계산하다
precious,소중한
gas,기체
tsunami,쓰나미
archipelago,군도
necessary,필요한
reason,이유
experiment,실험
valuable,귀중한
treatment,치료
climate,기후
compare,비교하다
matter,물질
adapt,적응하다
process,과정
orbit,궤도
decimal,소수
therefore,그러므로
skeleton,골격
hypothesis,가설
overcome,극복하다
modern,현대의
although,비록 ~이지만
background,배경
consultant,상담가
influence,영향을 주다
entrepreneur,사업가
population,인구
participate,참여하다
percentage,백분율
recovery,회복
plateau,고원
presentation,발표
tolerant,관대한
continent,대륙
tolerate,견디다
improve,향상시키다
government,정부
eventually,결국
viewpoint,견해
atmosphere,대기
technician,기술자
sacrifice,희생하다
analyst,분석가
economist,경제학자
patience,인내심
dedicate,바치다
fact,사실
record,기록하다
usually,보통
opinion,의견
flood,홍수
organ,장기
solid,고체
chemical,화학물질
cope,대처하다
solution,해결책
traditional,전통적인
delta,삼각주
responsibility,책임
force,힘
evolution,진화
effort,노력
species,종(생물)
community,공동체
hemisphere,반구
pessimistic,비관적인
especially,특히
diplomat,외교관
imagination,상상력
factor,요인
perspective,관점
requirement,요구사항
handle,다루다
create,창조하다
symptom,증상
law,법
vitamin,비타민
artificial,인공의
liquid,액체
criteria,기준(복수)
tundra,툰드라
motivate,동기를 부여하다
considerate,배려하는
duty,의무
arrogant,거만한
guideline,지침
cooperate,협력하다
cooperation,협동
standard,기준
certainly,확실히
sensitive,민감한
physical,신체적인
radius,반지름
ecosystem,생태계
rule,규칙
equator,적도
prevent,예방하다
affect,영향을 미치다
peninsula,반도
area,넓이
energy,에너지
global,전 세계적인
creativity,창의성
discover,발견하다
industry,산업
assumption,가정
convince,설득하다
battery,건전지
researcher,연구원
confidence,자신감
compromise,타협하다
experience,경험
habitat,서식지
nation,국가
system,체계
avalanche,눈사태
disease,질병
reasonable,합리적인
tax,세금
however,그러나
volunteer,자원봉사자
ancient,고대의
organize,조직하다
modest,겸손한
cultural,문화적인
knowledge,지식
achievement,성취
determined,단호한
glacier,빙하
component,구성요소
sincere,진실한
situation,상황
reaction,반응
temperature,온도
logical,논리적인
practical,실용적인
median,중앙값
technology,기술
empower,힘을 실어주다
natural,자연의
globalization,세계화
mental,정신적인
contribute,기여하다
rainforest,열대우림
suddenly,갑자기
savanna,사바나
context,맥락
efficient,효율적인
geometry,기하학
evaluate,평가하다
agriculture,농업
generous,너그러운
fail,실패하다
ambitious,야심찬
document,문서
infection,감염
diameter,지름
average,평균
digital,디지털의
evidence,증거
carbon,탄소
economy,경제
argue,주장하다
thoughtful,사려깊은
perimeter,둘레
angle,각도
investigate,조사하다
responsible,책임감 있는
medicine,약
reduce,줄이다
political,정치적인
official,공식적인
graph,그래프
analyze,분석하다
inventor,발명가
manage,관리하다
instead,대신에
deadline,마감일
conclude,결론짓다
ratio,비율
vaccine,백신
right,권리
report,보고하다
theory,이론
fraction,분수
electricity,전기
element,요소
material,재료
diagram,도표
chart,차트
nutrition,영양
latitude,위도
gravity,중력
immune,면역의
resource,자원
stubborn,고집센
formula,공식
memory,기억
instruction,지시
predict,예측하다
cause,원인이 되다
social,사회적인
magnet,자석
summarize,요약하다
donate,기부하다
structure,구조
wealth,부유함
survey,설문조사
challenge,도전
tradition,전통
devote,헌신하다
imagine,상상하다
aspect,측면
pollution,오염
information,정보
poverty,가난
project,과제/프로젝트
standpoint,입장
circuit,회로
procedure,절차
freedom,자유
virtual,가상의
probably,아마도
schedule,일정
politician,정치인
environment,환경
competition,경쟁
culture,문화
available,이용 가능한
hygiene,위생
succeed,성공하다
accomplish,이루다
adjust,조정하다
finally,마침내
publisher,출판인
inspire,영감을 주다
argument,논쟁
endure,견뎌내다
besides,게다가
democracy,민주주의
communication,의사소통
pursue,추구하다
rational,이성적인
confident,자신감 있는
optimistic,낙관적인
sequence,수열
achieve,성취하다
statistics,통계
resolve,해결하다
