valuable,귀중한
background,배경
infection,감염
accomplish,이루다
savanna,사바나
researcher,연구원
evolution,진화
technology,기술
practical,실용적인
ancient,고대의
inspire,영감을 주다
rule,규칙
angle,각도
project,과제/프로젝트
fail,실패하다
necessary,필요한
latitude,위도
struggle,애쓰다
succeed,성공하다
devote,헌신하다
courage,용기
assignment,과제
compare,비교하다
overcome,극복하다
industry,산업
cope,대처하다
volume,부피
natural,자연의
continent,대륙
circuit,회로
political,정치적인
economy,경제
environment,환경
reduce,줄이다
architect,건축가
result,결과가 되다
archipelago,군도
hygiene,위생
research,연구하다
dedicate,바치다
actually,실제로
efficient,효율적인
atmosphere,대기
emotional,감정적인
honesty,정직함
area,넓이
finally,마침내
climate,기후
geometry,기하학
contribute,기여하다
local,지역의
situation,상황
criteria,기준(복수)
generous,너그러운
summarize,요약하다
communication,의사소통
energy,에너지
survey,설문조사
equator,적도
although,비록 ~이지만
muscle,근육
ambitious,야심찬
report,보고하다
handle,다루다
entrepreneur,사업가
calculate,계산하다
analyst,분석가
prevent,예방하다
manage,관리하다
battery,건전지
confident,자신감 있는
hemisphere,반구
ecosystem,생태계
ratio,비율
volunteer,자원봉사자
estimate,추정하다
presentation,발표
sacrifice,희생하다
cultural,문화적인
endure,견뎌내다
interpreter,통역가
freedom,자유
flood,홍수
graph,그래프
diagram,도표
immune,면역의
community,공동체
avalanche,눈사태
artificial,인공의
inventor,발명가
habitat,서식지
chart,차트
radius,반지름
standpoint,입장
probably,아마도
nutrition,영양
responsibility,책임
orbit,궤도
determined,단호한
probability,확률
aspect,측면
investigate,조사하다
cause,원인이 되다
tsunami,쓰나미
structure,구조
evaluate,평가하다
tolerate,견디다
strive,노력하다
rational,이성적인
canyon,협곡
species,종(생물)
equation,방정식
however,그러나
election,선거
traditional,전통적인
knowledge,지식
tradition,전통
affect,영향을 미치다
conclude,결론짓다
population,인구
economist,경제학자
statistics,통계
imagination,상상력
questionnaire,설문지
sincere,진실한
context,맥락
curious,호기심 많은
certainly,확실히
hurricane,허리케인
certificate,증명서
chemical,화학물질
tundra,툰드라
diplomat,외교관
trade,무역
society,사회
negotiate,협상하다
globalization,세계화
reaction,반응
reasonable,합리적인
document,문서
editor,편집자
democracy,민주주의
modest,겸손한
achievement,성취
vaccine,백신
cautious,신중한
element,요소
recovery,회복
improve,향상시키다
stubborn,고집센
record,기록하다
usually,보통
compromise,타협하다
carbon,탄소
meanwhile,그 동안에
oxygen,산소
logical,논리적인
tax,세금
guideline,지침
convince,설득하다
law,법
agriculture,농업
median,중앙값
plateau,고원
electricity,전기
publisher,출판인
consultant,상담가
percentage,백분율
eventually,결국
suddenly,갑자기
right,권리
conclusion,결론
responsible,책임감 있는
communicate,의사소통하다
liquid,액체
therapy,치료법
social,사회적인
influence,영향을 주다
adapt,적응하다
gas,기체
patience,인내심
creative,창의적인
imagine,상상하다
protein,단백질
humble,겸손한
global,전 세계적인
experience,경험
challenge,도전
physical,신체적인
sequence,수열
opportunity,기회
resource,자원
cooperation,협동
pollution,오염
official,공식적인
formula,공식
opinion,의견
confidence,자신감
reason,이유
observe,관찰하다
precious,소중한
especially,특히
longitude,경도
treatment,치료
available,이용 가능한
deadline,마감일
factor,요인
delta,삼각주
effort,노력
argument,논쟁
skeleton,골격
optimistic,낙관적인
comfortable,편안한
generally,일반적으로
requirement,요구사항
thoughtful,사려깊은
motivate,동기를 부여하다
peninsula,반도
gravity,중력
average,평균
force,힘
analyze,분석하다
translator,번역가
empower,힘을 실어주다
virtual,가상의
therefore,그러므로
perspective,관점
culture,문화
wealth,부유함
sensitive,민감한
perimeter,둘레
schedule,일정
citizen,시민
solution,해결책
instead,대신에
evidence,증거
memory,기억
viewpoint,견해
pessimistic,비관적인
create,창조하다
organ,장기
curiosity,호기심
rainforest,열대우림
glacier,빙하
decimal,소수
government,정부
vitamin,비타민
pursue,추구하다
technician,기술자
independence,독립
modern,현대의
fraction,분수
solid,고체
heritage,유산
achieve,성취하다
resolve,해결하다
information,정보
theory,이론
fact,사실
standard,기준
hypothesis,가설
material,재료
process,과정
discover,발견하다
arrogant,거만한
system,체계
tolerant,관대한
competition,경쟁
assumption,가정
disease,질병
donate,기부하다
otherwise,그렇지 않으면
economic,경제적인
considerate,배려하는
predict,예측하다
poverty,가난
procedure,절차
besides,게다가
participate,참여하다
component,구성요소
adjust,조정하다
magnet,자석
experiment,실험
politician,정치인
duty,의무
instruction,지시
persuade,설득하다
nation,국가
digital,디지털의
cooperate,협력하다
organize,조직하다
diameter,지름
matter,물질
medicine,약
creativity,창의성
drought,가뭄
temperature,온도
symptom,증상
argue,주장하다
mental,정신적인
