attitude,태도
behavior,행동
routine,일상
habit,습관
relationship,관계
communication,의사소통
department,부서/학과
corridor,복도
grade,학년/성적
attendance,출석
absence,결석
permission,허락
punishment,벌
reward,보상
discipline,규율
uniform,교복
club,동아리
assembly,조회/집회
announcement,공지
timetable,시간표
frustrated,좌절한
anxious,불안한
grateful,감사하는
sympathetic,동정하는
indifferent,무관심한
enthusiastic,열정적인
reluctant,꺼리는
hesitant,망설이는
satisfied,만족한
dissatisfied,불만족한
cheerful,쾌활한
gloomy,우울한
calm,차분한
restless,안절부절못하는
content,만족하는
advertisement,광고
media,매체
generation,세대
custom,관습
ceremony,의식
festival,축제
celebrity,유명인
fashion,유행
trend,경향
rumor,소문
gossip,험담
gender,성별
minority,소수집단
majority,다수
immigrant,이민자
refugee,난민
diversity,다양성
stereotype,고정관념
substance,물질
particle,입자
molecule,분자
cell,세포
organism,생물
bacteria,박테리아
virus,바이러스
diagnosis,진단
function,함수/기능
variable,변수
coordinate,좌표
exponent,지수
interval,간격
digestion,소화
circulation,순환
rely,의존하다
depend,의존하다
hesitate,망설이다
assume,가정하다
insist,주장하다
admit,인정하다
deny,부인하다
blame,비난하다
forgive,용서하다
regret,후회하다
criticize,비판하다
praise,칭찬하다
exaggerate,과장하다
emphasize,강조하다
illustrate,설명하다
demonstrate,입증하다
indicate,나타내다
imply,암시하다
interpret,해석하다
translate,번역하다
quote,인용하다
mention,언급하다
refer,참조하다
relate,관련시키다
connect,연결하다
distinguish,구별하다
identify,확인하다
recognize,인식하다
ignore,무시하다
consider,고려하다
reliable,믿을 만한
unreliable,믿을 수 없는
capable,할 수 있는
incapable,할 수 없는
flexible,유연한
rigid,엄격한
competitive,경쟁적인
cooperative,협조적인
aggressive,공격적인
passive,수동적인
objective,객관적인
subjective,주관적인
positive,긍정적인
negative,부정적인
mutual,상호간의
individual,개인의
collective,집단적인
universal,보편적인
temporary,일시적인
permanent,영구적인
gradual,점진적인
constant,끊임없는
extreme,극단적인
moderate,적당한
severe,심각한
friendship,우정
conflict,갈등
argument,논쟁
agreement,합의
compromise,타협
apology,사과
forgiveness,용서
gratitude,감사
sympathy,동정
jealousy,질투
loneliness,외로움
embarrassment,당황
disappointment,실망
satisfaction,만족
misunderstanding,오해
quite,꽤
rather,다소
fairly,상당히
extremely,극도로
hardly,거의 ~않다
barely,간신히
nearly,거의
almost,거의
gradually,점차
immediately,즉시
eventually,결국
constantly,끊임없이
