math,수학
science,과학
art,미술
music,음악
English,영어
Korean,국어
history,역사
subject,과목
class,수업
homework,숙제
test,시험
textbook,교과서
doctor,의사
nurse,간호사
librarian,사서
police officer,경찰관
firefighter,소방관
farmer,농부
cook,요리사
singer,가수
dancer,무용수
painter,화가
writer,작가
driver,운전사
pilot,조종사
scientist,과학자
engineer,기술자
dentist,치과의사
vet,수의사
baker,제빵사
designer,디자이너
photographer,사진작가
bank,은행
post office,우체국
station,역
airport,공항
bakery,빵집
bookstore,서점
toy store,장난감 가게
museum,박물관
theater,극장
church,교회
temple,절
city hall,시청
factory,공장
farm,농장
harbor,항구
bridge,다리(건축물)
tunnel,터널
tower,탑
bus,버스
train,기차
subway,지하철
airplane,비행기
ship,배
boat,보트
taxi,택시
truck,트럭
motorcycle,오토바이
bicycle,자전거
ambulance,구급차
fire truck,소방차
submarine,잠수함
rocket,로켓
drawing,그리기
painting,그림 그리기
singing,노래하기
dancing,춤추기
camping,캠핑
fishing,낚시
hiking,등산
cooking,요리하기
baking,빵 굽기
gardening,정원 가꾸기
collecting,수집하기
skating,스케이트타기
skiing,스키타기
surfing,서핑
jogging,조깅
cycling,자전거타기
soccer,축구
baseball,야구
basketball,농구
volleyball,배구
tennis,테니스
badminton,배드민턴
swimming,수영
running,달리기
boxing,권투
golf,골프
hockey,하키
table tennis,탁구
gymnastics,체조
taekwondo,태권도
sunny,화창한
cloudy,흐린
rainy,비오는
snowy,눈오는
windy,바람부는
foggy,안개낀
humid,습한
freezing,꽁꽁 언
warm,따뜻한
cool,시원한
January,1월
February,2월
March,3월
April,4월
May,5월
June,6월
July,7월
August,8월
September,9월
October,10월
November,11월
December,12월
o'clock,정각
minute,분
hour,시간
second,초
excited,신난
bored,지루한
surprised,놀란
worried,걱정하는
nervous,긴장한
embarrassed,당황한
proud,자랑스러운
jealous,질투하는
lonely,외로운
curious,궁금한
confused,혼란스러운
relieved,안도하는
disappointed,실망한
scared,무서워하는
brave,용감한
shy,수줍은
expensive,비싼
cheap,싼
difficult,어려운
dangerous,위험한
safe,안전한
famous,유명한
popular,인기있는
important,중요한
special,특별한
different,다른
similar,비슷한
careful,조심스러운
careless,부주의한
honest,정직한
kind,친절한
rude,무례한
polite,예의바른
noisy,시끄러운
quiet,조용한
comfortable,편안한
uncomfortable,불편한
useful,유용한
useless,쓸모없는
wonderful,멋진
visit,방문하다
borrow,빌리다
lend,빌려주다
decide,결정하다
agree,동의하다
disagree,반대하다
promise,약속하다
invite,초대하다
explain,설명하다
introduce,소개하다
remember,기억하다
forget,잊다
choose,고르다
change,바꾸다
return,돌아오다/반납하다
arrive,도착하다
leave,떠나다
enter,들어가다
exit,나가다
continue,계속하다
finish,끝내다
start,시작하다
begin,시작하다
practice,연습하다
prepare,준비하다
protect,보호하다
repair,고치다
build,짓다
grow,자라다
collect,모으다
insect,곤충
butterfly,나비
spider,거미
ant,개미
bee,벌
plant,식물
seed,씨앗
root,뿌리
leaf,잎
branch,나뭇가지
forest,숲
desert,사막
island,섬
volcano,화산
earthquake,지진
planet,행성
circle,원
triangle,삼각형
square,정사각형
rectangle,직사각형
oval,타원
diamond,다이아몬드 모양
plus,더하기
minus,빼기
equal,같은
number,숫자
recipe,조리법
ingredient,재료
flavor,맛
sour,신
bitter,쓴
spicy,매운
salty,짠
fresh,신선한
frozen,냉동된
boil,끓이다
fry,튀기다
bake,굽다
mix,섞다
sweet,달콤한
cousin,사촌
nephew,조카(남)
niece,조카(여)
grandparent,조부모
neighbor,이웃
classmate,반친구
partner,짝
stranger,낯선 사람
valley,계곡
cave,동굴
waterfall,폭포
lake,호수
pond,연못
meadow,초원
cliff,절벽
coast,해안
jungle,정글
path,길
trail,오솔길
swamp,늪
astronaut,우주비행사
journalist,기자
lawyer,변호사
judge,판사
soldier,군인
actor,배우(남)
actress,배우(여)
athlete,운동선수
magician,마술사
guard,경비원
principal,교장선생님
hallway,복도
cafeteria,급식실
gym,체육관
auditorium,강당
locker,사물함
uniform,교복
schedule,시간표
semester,학기
holiday,휴일
measure,측정하다
weigh,무게를 재다
count,세다
guess,추측하다
solve,풀다
discover,발견하다
invent,발명하다
create,만들다
imagine,상상하다
compare,비교하다
describe,묘사하다
discuss,의논하다
suggest,제안하다
warn,경고하다
encourage,격려하다
apologize,사과하다
complain,불평하다
admire,감탄하다
respect,존중하다
trust,믿다
doubt,의심하다
wonder,궁금해하다
hope,바라다
wish,소망하다
dream,꿈꾸다
plan,계획하다
organize,정리하다
arrange,배열하다
attend,참석하다
participate,참가하다
