explain,설명하다
music,음악
locker,사물함
honest,정직한
foggy,안개낀
farm,농장
relieved,안도하는
comfortable,편안한
doctor,의사
tower,탑
insect,곤충
station,역
difficult,어려운
skiing,스키타기
gymnastics,체조
trust,믿다
coast,해안
uniform,교복
collect,모으다
diamond,다이아몬드 모양
borrow,빌리다
different,다른
lake,호수
February,2월
baseball,야구
scientist,과학자
warm,따뜻한
stranger,낯선 사람
soccer,축구
wonderful,멋진
English,영어
museum,박물관
attend,참석하다
writer,작가
test,시험
boil,끓이다
wish,소망하다
October,10월
invent,발명하다
post office,우체국
worried,걱정하는
art,미술
earthquake,지진
gym,체육관
dentist,치과의사
swimming,수영
prepare,준비하다
taxi,택시
singing,노래하기
nervous,긴장한
mix,섞다
January,1월
cook,요리사
careful,조심스러운
choose,고르다
compare,비교하다
island,섬
pond,연못
collecting,수집하기
hope,바라다
curious,궁금한
pilot,조종사
solve,풀다
theater,극장
taekwondo,태권도
measure,측정하다
cooking,요리하기
nurse,간호사
agree,동의하다
uncomfortable,불편한
July,7월
singer,가수
boat,보트
skating,스케이트타기
engineer,기술자
subway,지하철
butterfly,나비
harbor,항구
cave,동굴
waterfall,폭포
repair,고치다
March,3월
August,8월
vet,수의사
baking,빵 굽기
bus,버스
fire truck,소방차
hockey,하키
build,짓다
surfing,서핑
running,달리기
continue,계속하다
kind,친절한
useful,유용한
suggest,제안하다
trail,오솔길
airplane,비행기
flavor,맛
useless,쓸모없는
important,중요한
train,기차
holiday,휴일
tunnel,터널
special,특별한
partner,짝
spider,거미
toy store,장난감 가게
sweet,달콤한
painter,화가
o'clock,정각
embarrassed,당황한
seed,씨앗
volleyball,배구
jogging,조깅
humid,습한
golf,골프
safe,안전한
imagine,상상하다
cliff,절벽
bridge,다리(건축물)
discover,발견하다
camping,캠핑
change,바꾸다
hallway,복도
rainy,비오는
windy,바람부는
discuss,의논하다
snowy,눈오는
expensive,비싼
bee,벌
careless,부주의한
scared,무서워하는
bakery,빵집
ant,개미
grandparent,조부모
swamp,늪
niece,조카(여)
invite,초대하다
encourage,격려하다
protect,보호하다
enter,들어가다
leave,떠나다
freezing,꽁꽁 언
photographer,사진작가
bookstore,서점
leaf,잎
return,돌아오다/반납하다
hour,시간
lawyer,변호사
police officer,경찰관
