argue,주장하다
sensitive,민감한
archipelago,군도
create,창조하다
virtual,가상의
observe,관찰하다
background,배경
affect,영향을 미치다
otherwise,그렇지 않으면
orbit,궤도
competition,경쟁
politician,정치인
achievement,성취
equation,방정식
volume,부피
handle,다루다
assumption,가정
canyon,협곡
therapy,치료법
responsible,책임감 있는
meanwhile,그 동안에
communication,의사소통
delta,삼각주
glacier,빙하
globalization,세계화
publisher,출판인
species,종(생물)
donate,기부하다
contribute,기여하다
ancient,고대의
wealth,부유함
experiment,실험
resource,자원
skeleton,골격
experience,경험
memory,기억
tax,세금
diameter,지름
ambitious,야심찬
fail,실패하다
reduce,줄이다
tolerant,관대한
global,전 세계적인
considerate,배려하는
ecosystem,생태계
infection,감염
editor,편집자
reaction,반응
influence,영향을 주다
election,선거
determined,단호한
continent,대륙
empower,힘을 실어주다
patience,인내심
rainforest,열대우림
structure,구조
material,재료
opinion,의견
valuable,귀중한
environment,환경
questionnaire,설문지
area,넓이
natural,자연의
result,결과가 되다
cooperate,협력하다
tsunami,쓰나미
certainly,확실히
although,비록 ~이지만
organ,장기
drought,가뭄
hemisphere,반구
arrogant,거만한
conclude,결론짓다
courage,용기
angle,각도
thoughtful,사려깊은
tundra,툰드라
eventually,결국
logical,논리적인
treatment,치료
inventor,발명가
challenge,도전
summarize,요약하다
freedom,자유
theory,이론
criteria,기준(복수)
duty,의무
adapt,적응하다
standpoint,입장
circuit,회로
effort,노력
oxygen,산소
battery,건전지
vaccine,백신
pollution,오염
translator,번역가
creative,창의적인
conclusion,결론
overcome,극복하다
besides,게다가
economy,경제
situation,상황
compare,비교하다
efficient,효율적인
hygiene,위생
participate,참여하다
element,요소
estimate,추정하다
precious,소중한
interpreter,통역가
cause,원인이 되다
technology,기술
accomplish,이루다
curious,호기심 많은
atmosphere,대기
magnet,자석
entrepreneur,사업가
chart,차트
fraction,분수
reasonable,합리적인
geometry,기하학
however,그러나
analyze,분석하다
presentation,발표
probably,아마도
liquid,액체
evidence,증거
adjust,조정하다
industry,산업
responsibility,책임
endure,견뎌내다
persuade,설득하다
prevent,예방하다
sacrifice,희생하다
usually,보통
right,권리
flood,홍수
researcher,연구원
statistics,통계
survey,설문조사
record,기록하다
project,과제/프로젝트
communicate,의사소통하다
rational,이성적인
achieve,성취하다
viewpoint,견해
savanna,사바나
optimistic,낙관적인
struggle,애쓰다
hurricane,허리케인
