opinion,의견
reason,이유
effort,노력
experience,경험
environment,환경
technology,기술
culture,문화
tradition,전통
heritage,유산
independence,독립
freedom,자유
responsibility,책임
honesty,정직함
courage,용기
patience,인내심
confidence,자신감
curiosity,호기심
creativity,창의성
imagination,상상력
memory,기억
knowledge,지식
information,정보
communication,의사소통
cooperation,협동
competition,경쟁
achievement,성취
challenge,도전
opportunity,기회
solution,해결책
situation,상황
achieve,성취하다
discover,발견하다
create,창조하다
improve,향상시키다
compare,비교하다
predict,예측하다
imagine,상상하다
communicate,의사소통하다
participate,참여하다
organize,조직하다
analyze,분석하다
evaluate,평가하다
calculate,계산하다
estimate,추정하다
investigate,조사하다
research,연구하다
observe,관찰하다
record,기록하다
report,보고하다
summarize,요약하다
conclude,결론짓다
argue,주장하다
convince,설득하다
persuade,설득하다
influence,영향을 주다
affect,영향을 미치다
cause,원인이 되다
result,결과가 되다
prevent,예방하다
reduce,줄이다
government,정부
economy,경제
society,사회
population,인구
pollution,오염
volunteer,자원봉사자
election,선거
democracy,민주주의
citizen,시민
community,공동체
nation,국가
law,법
rule,규칙
right,권리
duty,의무
tax,세금
trade,무역
industry,산업
agriculture,농업
resource,자원
poverty,가난
wealth,부유함
globalization,세계화
energy,에너지
experiment,실험
gravity,중력
orbit,궤도
material,재료
matter,물질
solid,고체
liquid,액체
gas,기체
temperature,온도
force,힘
magnet,자석
electricity,전기
battery,건전지
circuit,회로
chemical,화학물질
reaction,반응
evolution,진화
ecosystem,생태계
habitat,서식지
species,종(생물)
oxygen,산소
carbon,탄소
atmosphere,대기
curious,호기심 많은
confident,자신감 있는
responsible,책임감 있는
generous,너그러운
efficient,효율적인
comfortable,편안한
necessary,필요한
available,이용 가능한
valuable,귀중한
precious,소중한
ancient,고대의
modern,현대의
traditional,전통적인
official,공식적인
global,전 세계적인
local,지역의
physical,신체적인
mental,정신적인
emotional,감정적인
social,사회적인
political,정치적인
economic,경제적인
cultural,문화적인
natural,자연의
artificial,인공의
digital,디지털의
virtual,가상의
practical,실용적인
logical,논리적인
creative,창의적인
however,그러나
therefore,그러므로
although,비록 ~이지만
instead,대신에
probably,아마도
eventually,결국
actually,실제로
certainly,확실히
especially,특히
generally,일반적으로
usually,보통
finally,마침내
suddenly,갑자기
meanwhile,그 동안에
otherwise,그렇지 않으면
besides,게다가
schedule,일정
instruction,지시
document,문서
certificate,증명서
percentage,백분율
average,평균
statistics,통계
graph,그래프
diagram,도표
chart,차트
survey,설문조사
questionnaire,설문지
presentation,발표
project,과제/프로젝트
assignment,과제
deadline,마감일
requirement,요구사항
guideline,지침
standard,기준
criteria,기준(복수)
architect,건축가
economist,경제학자
diplomat,외교관
politician,정치인
researcher,연구원
inventor,발명가
entrepreneur,사업가
editor,편집자
publisher,출판인
translator,번역가
interpreter,통역가
consultant,상담가
analyst,분석가
technician,기술자
ambitious,야심찬
humble,겸손한
stubborn,고집센
cautious,신중한
optimistic,낙관적인
pessimistic,비관적인
sincere,진실한
arrogant,거만한
modest,겸손한
tolerant,관대한
sensitive,민감한
rational,이성적인
reasonable,합리적인
thoughtful,사려깊은
considerate,배려하는
determined,단호한
continent,대륙
hemisphere,반구
equator,적도
latitude,위도
longitude,경도
climate,기후
drought,가뭄
flood,홍수
hurricane,허리케인
tsunami,쓰나미
avalanche,눈사태
glacier,빙하
canyon,협곡
plateau,고원
peninsula,반도
archipelago,군도
delta,삼각주
tundra,툰드라
savanna,사바나
rainforest,열대우림
nutrition,영양
vitamin,비타민
protein,단백질
muscle,근육
skeleton,골격
organ,장기
disease,질병
symptom,증상
treatment,치료
medicine,약
vaccine,백신
therapy,치료법
hygiene,위생
infection,감염
immune,면역의
recovery,회복
fraction,분수
decimal,소수
ratio,비율
equation,방정식
formula,공식
geometry,기하학
angle,각도
diameter,지름
radius,반지름
volume,부피
area,넓이
perimeter,둘레
sequence,수열
probability,확률
median,중앙값
negotiate,협상하다
compromise,타협하다
cooperate,협력하다
contribute,기여하다
donate,기부하다
inspire,영감을 주다
motivate,동기를 부여하다
empower,힘을 실어주다
accomplish,이루다
overcome,극복하다
adapt,적응하다
adjust,조정하다
tolerate,견디다
endure,견뎌내다
sacrifice,희생하다
devote,헌신하다
dedicate,바치다
pursue,추구하다
strive,노력하다
succeed,성공하다
fail,실패하다
struggle,애쓰다
cope,대처하다
manage,관리하다
handle,다루다
resolve,해결하다
perspective,관점
viewpoint,견해
standpoint,입장
argument,논쟁
evidence,증거
fact,사실
theory,이론
hypothesis,가설
conclusion,결론
assumption,가정
context,맥락
background,배경
aspect,측면
factor,요인
element,요소
component,구성요소
structure,구조
system,체계
process,과정
procedure,절차
