pull,당기다
cut,자르다
o'clock,정각
pilot,조종사
hour,시간
invite,초대하다
visit,방문하다
holiday,휴일
quiet,조용한
Korean,국어
cloudy,흐린
October,10월
confused,혼란스러운
different,다른
kind,친절한
rectangle,직사각형
bicycle,자전거
running,달리기
surprised,놀란
harbor,항구
soldier,군인
nurse,간호사
guard,경비원
earthquake,지진
carry,나르다
rainy,비오는
start,시작하다
lead,이끌다
agree,동의하다
leave,떠나다
fire truck,소방차
proud,자랑스러운
give,주다
September,9월
snowy,눈오는
tennis,테니스
humid,습한
greet,인사하다
shy,수줍은
volleyball,배구
athlete,운동선수
semester,학기
cooking,요리하기
train,기차
repair,고치다
mix,섞다
excited,신난
museum,박물관
jungle,정글
homework,숙제
lonely,외로운
bitter,쓴
hallway,복도
salty,짠
bee,벌
swimming,수영
niece,조카(여)
want,원하다
continue,계속하다
hold,잡다
photographer,사진작가
triangle,삼각형
follow,따라가다
cave,동굴
post office,우체국
difficult,어려운
doctor,의사
seed,씨앗
buy,사다
prepare,준비하다
special,특별한
decide,결정하다
disagree,반대하다
comfortable,편안한
polite,예의바른
engineer,기술자
painter,화가
ingredient,재료
coast,해안
forget,잊다
frozen,냉동된
arrive,도착하다
singer,가수
art,미술
June,6월
swamp,늪
equal,같은
camping,캠핑
librarian,사서
March,3월
golf,골프
windy,바람부는
fishing,낚시
pond,연못
bus,버스
promise,약속하다
badminton,배드민턴
history,역사
exit,나가다
theater,극장
bookstore,서점
protect,보호하다
sweet,달콤한
bakery,빵집
make,만들다
city hall,시청
second,초
explain,설명하다
embarrassed,당황한
collect,모으다
motorcycle,오토바이
bake,굽다
disappointed,실망한
subway,지하철
grow,자라다
hide,숨다
sour,신
wear,입다
jogging,조깅
math,수학
judge,판사
return,돌아오다/반납하다
station,역
wonderful,멋진
cliff,절벽
lawyer,변호사
fix,고치다
island,섬
square,정사각형
dangerous,위험한
classmate,반친구
English,영어
tunnel,터널
designer,디자이너
honest,정직한
partner,짝
lake,호수
August,8월
oval,타원
basketball,농구
locker,사물함
brave,용감한
minute,분
safe,안전한
noisy,시끄러운
December,12월
fresh,신선한
grandparent,조부모
leaf,잎
plus,더하기
temple,절
driver,운전사
taxi,택시
baker,제빵사
warm,따뜻한
popular,인기있는
borrow,빌리다
toy store,장난감 가게
sunny,화창한
baking,빵 굽기
police officer,경찰관
airport,공항
science,과학
cheap,싼
diamond,다이아몬드 모양
nephew,조카(남)
similar,비슷한
vet,수의사
cousin,사촌
February,2월
enter,들어가다
share,나누다
choose,고르다
careless,부주의한
meet,만나다
dentist,치과의사
schedule,시간표
ant,개미
expensive,비싼
trail,오솔길
plant,식물
love,사랑하다
May,5월
surfing,서핑
taekwondo,태권도
dancing,춤추기
jealous,질투하는
cook,요리사
neighbor,이웃
cycling,자전거타기
fill,채우다
subject,과목
gym,체육관
hiking,등산
flavor,맛
nervous,긴장한
useless,쓸모없는
boxing,권투
firefighter,소방관
pick,고르다/따다
farmer,농부
hockey,하키
ambulance,구급차
planet,행성
introduce,소개하다
test,시험
class,수업
finish,끝내다
skiing,스키타기
farm,농장
number,숫자
remember,기억하다
valley,계곡
curious,궁금한
gardening,정원 가꾸기
scientist,과학자
bridge,다리(건축물)
desert,사막
cafeteria,급식실
skating,스케이트타기
minus,빼기
boat,보트
find,찾다
build,짓다
lend,빌려주다
spicy,매운
branch,나뭇가지
path,길
useful,유용한
singing,노래하기
touch,만지다
airplane,비행기
magician,마술사
truck,트럭
begin,시작하다
use,사용하다
uncomfortable,불편한
careful,조심스러운
tower,탑
spider,거미
stranger,낯선 사람
circle,원
rude,무례한
change,바꾸다
foggy,안개낀
collecting,수집하기
uniform,교복
factory,공장
textbook,교과서
forest,숲
January,1월
music,음악
July,7월
fry,튀기다
relieved,안도하는
journalist,기자
butterfly,나비
November,11월
freezing,꽁꽁 언
principal,교장선생님
submarine,잠수함
actress,배우(여)
ship,배
table tennis,탁구
recipe,조리법
soccer,축구
painting,그림 그리기
boil,끓이다
baseball,야구
meadow,초원
famous,유명한
actor,배우(남)
root,뿌리
gymnastics,체조
push,밀다
auditorium,강당
important,중요한
worried,걱정하는
rocket,로켓
sell,팔다
volcano,화산
writer,작가
insect,곤충
waterfall,폭포
astronaut,우주비행사
tie,묶다
scared,무서워하는
church,교회
take,가져가다
lose,잃다
practice,연습하다
pour,붓다
need,필요하다
bored,지루한
like,좋아하다
cool,시원한
drawing,그리기
bank,은행
dancer,무용수
April,4월
