context,맥락
creative,창의적인
sincere,진실한
graph,그래프
liquid,액체
effort,노력
gas,기체
emotional,감정적인
dedicate,바치다
median,중앙값
tolerate,견디다
technology,기술
material,재료
local,지역의
assignment,과제
democracy,민주주의
curious,호기심 많은
estimate,추정하다
considerate,배려하는
tradition,전통
nation,국가
hurricane,허리케인
volunteer,자원봉사자
curiosity,호기심
adapt,적응하다
opportunity,기회
stubborn,고집센
disease,질병
patience,인내심
strive,노력하다
fraction,분수
tolerant,관대한
population,인구
physical,신체적인
imagine,상상하다
freedom,자유
analyst,분석가
species,종(생물)
determined,단호한
instruction,지시
politician,정치인
probability,확률
knowledge,지식
natural,자연의
achieve,성취하다
competition,경쟁
opinion,의견
duty,의무
circuit,회로
habitat,서식지
force,힘
therapy,치료법
confident,자신감 있는
savanna,사바나
fail,실패하다
battery,건전지
compromise,타협하다
rule,규칙
participate,참여하다
record,기록하다
process,과정
independence,독립
hemisphere,반구
conclude,결론짓다
memory,기억
prevent,예방하다
guideline,지침
energy,에너지
volume,부피
solid,고체
editor,편집자
resource,자원
climate,기후
muscle,근육
temperature,온도
cooperate,협력하다
gravity,중력
available,이용 가능한
matter,물질
handle,다루다
besides,게다가
mental,정신적인
latitude,위도
protein,단백질
technician,기술자
ecosystem,생태계
evidence,증거
requirement,요구사항
manage,관리하다
organize,조직하다
