endure,견뎌내다
creativity,창의성
battery,건전지
solution,해결책
guideline,지침
prevent,예방하다
curiosity,호기심
finally,마침내
fact,사실
cooperate,협력하다
inspire,영감을 주다
deadline,마감일
component,구성요소
generally,일반적으로
evidence,증거
although,비록 ~이지만
canyon,협곡
element,요소
wealth,부유함
imagination,상상력
virtual,가상의
atmosphere,대기
eventually,결국
diameter,지름
effort,노력
average,평균
comfortable,편안한
rational,이성적인
emotional,감정적인
curious,호기심 많은
honesty,정직함
viewpoint,견해
tundra,툰드라
ambitious,야심찬
hypothesis,가설
contribute,기여하다
pessimistic,비관적인
medicine,약
infection,감염
achievement,성취
treatment,치료
affect,영향을 미치다
official,공식적인
statistics,통계
heritage,유산
nation,국가
electricity,전기
hemisphere,반구
radius,반지름
hygiene,위생
assignment,과제
independence,독립
environment,환경
confidence,자신감
determined,단호한
instead,대신에
community,공동체
formula,공식
modern,현대의
globalization,세계화
therapy,치료법
skeleton,골격
chemical,화학물질
tsunami,쓰나미
chart,차트
symptom,증상
adapt,적응하다
stubborn,고집센
resolve,해결하다
arrogant,거만한
background,배경
politician,정치인
fraction,분수
force,힘
analyze,분석하다
law,법
procedure,절차
factor,요인
assumption,가정
industry,산업
project,과제/프로젝트
persuade,설득하다
knowledge,지식
volunteer,자원봉사자
necessary,필요한
presentation,발표
estimate,추정하다
citizen,시민
percentage,백분율
usually,보통
argument,논쟁
accomplish,이루다
election,선거
empower,힘을 실어주다
efficient,효율적인
participate,참여하다
document,문서
editor,편집자
equator,적도
diagram,도표
organize,조직하다
plateau,고원
opportunity,기회
species,종(생물)
strive,노력하다
thoughtful,사려깊은
area,넓이
cope,대처하다
digital,디지털의
tax,세금
schedule,일정
certificate,증명서
liquid,액체
conclusion,결론
process,과정
culture,문화
probability,확률
evaluate,평가하다
economy,경제
calculate,계산하다
habitat,서식지
cautious,신중한
observe,관찰하다
imagine,상상하다
geometry,기하학
memory,기억
decimal,소수
investigate,조사하다
improve,향상시키다
argue,주장하다
traditional,전통적인
tolerant,관대한
gravity,중력
reaction,반응
muscle,근육
ancient,고대의
right,권리
overcome,극복하다
confident,자신감 있는
summarize,요약하다
sensitive,민감한
freedom,자유
magnet,자석
aspect,측면
experiment,실험
succeed,성공하다
translator,번역가
flood,홍수
structure,구조
optimistic,낙관적인
courage,용기
practical,실용적인
influence,영향을 주다
sacrifice,희생하다
rule,규칙
government,정부
interpreter,통역가
global,전 세계적인
challenge,도전
reduce,줄이다
agriculture,농업
gas,기체
predict,예측하다
economist,경제학자
continent,대륙
patience,인내심
entrepreneur,사업가
protein,단백질
manage,관리하다
perimeter,둘레
physical,신체적인
carbon,탄소
system,체계
peninsula,반도
pursue,추구하다
evolution,진화
responsible,책임감 있는
natural,자연의
dedicate,바치다
trade,무역
modest,겸손한
technician,기술자
standard,기준
glacier,빙하
context,맥락
temperature,온도
theory,이론
oxygen,산소
cultural,문화적인
organ,장기
devote,헌신하다
hurricane,허리케인
disease,질병
savanna,사바나
analyst,분석가
local,지역의
donate,기부하다
conclude,결론짓다
reasonable,합리적인
diplomat,외교관
create,창조하다
adjust,조정하다
considerate,배려하는
research,연구하다
recovery,회복
ecosystem,생태계
cooperation,협동
matter,물질
rainforest,열대우림
vitamin,비타민
standpoint,입장
perspective,관점
society,사회
longitude,경도
economic,경제적인
publisher,출판인
reason,이유
artificial,인공의
population,인구
instruction,지시
pollution,오염
motivate,동기를 부여하다
fail,실패하다
architect,건축가
struggle,애쓰다
democracy,민주주의
however,그러나
suddenly,갑자기
angle,각도
generous,너그러운
situation,상황
achieve,성취하다
political,정치적인
poverty,가난
mental,정신적인
probably,아마도
drought,가뭄
ratio,비율
sequence,수열
researcher,연구원
nutrition,영양
experience,경험
competition,경쟁
duty,의무
meanwhile,그 동안에
report,보고하다
median,중앙값
delta,삼각주
archipelago,군도
requirement,요구사항
compromise,타협하다
compare,비교하다
criteria,기준(복수)
avalanche,눈사태
survey,설문조사
tradition,전통
graph,그래프
record,기록하다
climate,기후
humble,겸손한
energy,에너지
questionnaire,설문지
material,재료
cause,원인이 되다
valuable,귀중한
orbit,궤도
technology,기술
latitude,위도
especially,특히
creative,창의적인
solid,고체
convince,설득하다
result,결과가 되다
inventor,발명가
besides,게다가
resource,자원
vaccine,백신
logical,논리적인
available,이용 가능한
responsibility,책임
volume,부피
information,정보
circuit,회로
immune,면역의
equation,방정식
actually,실제로
opinion,의견
therefore,그러므로
discover,발견하다
negotiate,협상하다
otherwise,그렇지 않으면
handle,다루다
communicate,의사소통하다
communication,의사소통
certainly,확실히
tolerate,견디다
social,사회적인
consultant,상담가
sincere,진실한
precious,소중한
