atmosphere,대기
volume,부피
evaluate,평가하다
formula,공식
evidence,증거
magnet,자석
survey,설문조사
solution,해결책
achieve,성취하다
force,힘
patience,인내심
competition,경쟁
geometry,기하학
schedule,일정
conclusion,결론
cooperate,협력하다
diplomat,외교관
globalization,세계화
society,사회
ratio,비율
plateau,고원
although,비록 ~이지만
element,요소
reasonable,합리적인
convince,설득하다
factor,요인
overcome,극복하다
knowledge,지식
medicine,약
technology,기술
symptom,증상
precious,소중한
predict,예측하다
tundra,툰드라
consultant,상담가
immune,면역의
devote,헌신하다
pessimistic,비관적인
information,정보
protein,단백질
artificial,인공의
virtual,가상의
negotiate,협상하다
climate,기후
requirement,요구사항
energy,에너지
vitamin,비타민
chemical,화학물질
gravity,중력
standard,기준
argument,논쟁
freedom,자유
imagine,상상하다
perspective,관점
usually,보통
deadline,마감일
honesty,정직함
pollution,오염
citizen,시민
hurricane,허리케인
certificate,증명서
assignment,과제
generous,너그러운
equator,적도
confidence,자신감
graph,그래프
perimeter,둘레
result,결과가 되다
cause,원인이 되다
tolerate,견디다
habitat,서식지
adapt,적응하다
ambitious,야심찬
inventor,발명가
circuit,회로
responsible,책임감 있는
poverty,가난
democracy,민주주의
editor,편집자
determined,단호한
orbit,궤도
percentage,백분율
calculate,계산하다
communication,의사소통
handle,다루다
system,체계
rainforest,열대우림
canyon,협곡
reduce,줄이다
infection,감염
