take,가져가다
confused,혼란스러운
build,짓다
hallway,복도
like,좋아하다
forest,숲
explain,설명하다
ship,배
hour,시간
scientist,과학자
number,숫자
semester,학기
niece,조카(여)
leaf,잎
minute,분
boxing,권투
lose,잃다
humid,습한
warm,따뜻한
wonderful,멋진
ambulance,구급차
drawing,그리기
holiday,휴일
fresh,신선한
January,1월
dangerous,위험한
proud,자랑스러운
temple,절
bake,굽다
honest,정직한
engineer,기술자
famous,유명한
driver,운전사
theater,극장
train,기차
science,과학
pour,붓다
truck,트럭
bridge,다리(건축물)
planet,행성
give,주다
subject,과목
popular,인기있는
trail,오솔길
disagree,반대하다
o'clock,정각
circle,원
meet,만나다
excited,신난
dentist,치과의사
bicycle,자전거
lead,이끌다
bored,지루한
mix,섞다
gardening,정원 가꾸기
start,시작하다
locker,사물함
butterfly,나비
station,역
pick,고르다/따다
auditorium,강당
expensive,비싼
careful,조심스러운
bookstore,서점
rude,무례한
need,필요하다
touch,만지다
farm,농장
submarine,잠수함
curious,궁금한
April,4월
cool,시원한
hockey,하키
subway,지하철
fix,고치다
collecting,수집하기
test,시험
frozen,냉동된
spicy,매운
continue,계속하다
borrow,빌리다
church,교회
class,수업
useless,쓸모없는
neighbor,이웃
jogging,조깅
textbook,교과서
spider,거미
enter,들어가다
gymnastics,체조
uniform,교복
seed,씨앗
police officer,경찰관
cheap,싼
swimming,수영
return,돌아오다/반납하다
arrive,도착하다
useful,유용한
make,만들다
ingredient,재료
golf,골프
gym,체육관
path,길
baker,제빵사
dancing,춤추기
October,10월
fire truck,소방차
motorcycle,오토바이
nephew,조카(남)
pilot,조종사
classmate,반친구
practice,연습하다
surfing,서핑
uncomfortable,불편한
visit,방문하다
math,수학
cut,자르다
cliff,절벽
careless,부주의한
lonely,외로운
September,9월
second,초
June,6월
minus,빼기
Korean,국어
brave,용감한
plus,더하기
jungle,정글
bitter,쓴
jealous,질투하는
square,정사각형
magician,마술사
sunny,화창한
tunnel,터널
rectangle,직사각형
love,사랑하다
music,음악
agree,동의하다
polite,예의바른
ant,개미
principal,교장선생님
taekwondo,태권도
tie,묶다
November,11월
soccer,축구
English,영어
different,다른
special,특별한
quiet,조용한
flavor,맛
