record,기록하다
oxygen,산소
argue,주장하다
tundra,툰드라
evolution,진화
sincere,진실한
actually,실제로
wealth,부유함
usually,보통
democracy,민주주의
responsibility,책임
modest,겸손한
economist,경제학자
global,전 세계적인
agriculture,농업
analyze,분석하다
succeed,성공하다
probability,확률
gravity,중력
reasonable,합리적인
otherwise,그렇지 않으면
tradition,전통
viewpoint,견해
sacrifice,희생하다
electricity,전기
struggle,애쓰다
accomplish,이루다
argument,논쟁
investigate,조사하다
challenge,도전
suddenly,갑자기
formula,공식
decimal,소수
economic,경제적인
arrogant,거만한
convince,설득하다
meanwhile,그 동안에
strive,노력하다
protein,단백질
right,권리
gas,기체
culture,문화
thoughtful,사려깊은
confidence,자신감
independence,독립
traditional,전통적인
however,그러나
emotional,감정적인
calculate,계산하다
resource,자원
architect,건축가
equation,방정식
standpoint,입장
entrepreneur,사업가
document,문서
process,과정
overcome,극복하다
interpreter,통역가
generous,너그러운
structure,구조
radius,반지름
orbit,궤도
researcher,연구원
summarize,요약하다
nutrition,영양
tax,세금
translator,번역가
poverty,가난
fraction,분수
creativity,창의성
mental,정신적인
cause,원인이 되다
industry,산업
achieve,성취하다
publisher,출판인
chemical,화학물질
cooperation,협동
compare,비교하다
create,창조하다
delta,삼각주
savanna,사바나
cultural,문화적인
instead,대신에
editor,편집자
hygiene,위생
recovery,회복
cooperate,협력하다
estimate,추정하다
sensitive,민감한
imagine,상상하다
