record,기록하다
oxygen,산소
argue,주장하다
tundra,툰드라
evolution,진화
sincere,진실한
actually,실제로
wealth,부유함
usually,보통
democracy,민주주의
responsibility,책임
modest,겸손한
economist,경제학자
global,전 세계적인
agriculture,농업
analyze,분석하다
succeed,성공하다
probability,확률
gravity,중력
reasonable,합리적인
otherwise,그렇지 않으면
tradition,전통
viewpoint,견해
sacrifice,희생하다
electricity,전기
struggle,애쓰다
accomplish,이루다
argument,논쟁
investigate,조사하다
challenge,도전
suddenly,갑자기
formula,공식
decimal,소수
economic,경제적인
arrogant,거만한
convince,설득하다
meanwhile,그 동안에
strive,노력하다
protein,단백질
right,권리
gas,기체
culture,문화
thoughtful,사려깊은
confidence,자신감
independence,독립
traditional,전통적인
however,그러나
emotional,감정적인
calculate,계산하다
resource,자원
architect,건축가
equation,방정식
standpoint,입장
entrepreneur,사업가
document,문서
process,과정
overcome,극복하다
interpreter,통역가
generous,너그러운
structure,구조
radius,반지름
orbit,궤도
researcher,연구원
summarize,요약하다
nutrition,영양
tax,세금
translator,번역가
poverty,가난
fraction,분수
creativity,창의성
mental,정신적인
cause,원인이 되다
industry,산업
achieve,성취하다
publisher,출판인
chemical,화학물질
cooperation,협동
compare,비교하다
create,창조하다
delta,삼각주
savanna,사바나
cultural,문화적인
instead,대신에
editor,편집자
hygiene,위생
recovery,회복
cooperate,협력하다
estimate,추정하다
sensitive,민감한
imagine,상상하다
carbon,탄소
inspire,영감을 주다
citizen,시민
necessary,필요한
environment,환경
humble,겸손한
evaluate,평가하다
fact,사실
trade,무역
especially,특히
equator,적도
vaccine,백신
law,법
certificate,증명서
affect,영향을 미치다
battery,건전지
economy,경제
factor,요인
magnet,자석
valuable,귀중한
communication,의사소통
conclude,결론짓다
reason,이유
duty,의무
adjust,조정하다
manage,관리하다
deadline,마감일
government,정부
finally,마침내
imagination,상상력
society,사회
continent,대륙
percentage,백분율
probably,아마도
chart,차트
therefore,그러므로
diameter,지름
tolerate,견디다
liquid,액체
official,공식적인
certainly,확실히
context,맥락
hemisphere,반구
opinion,의견
instruction,지시
reduce,줄이다
longitude,경도
pessimistic,비관적인
endure,견뎌내다
volume,부피
glacier,빙하
compromise,타협하다
participate,참여하다
perspective,관점
perimeter,둘레
immune,면역의
guideline,지침
fail,실패하다
politician,정치인
component,구성요소
area,넓이
graph,그래프
heritage,유산
effort,노력
knowledge,지식
hurricane,허리케인
angle,각도
force,힘
species,종(생물)
consultant,상담가
honesty,정직함
geometry,기하학
analyst,분석가
matter,물질
symptom,증상
survey,설문조사
efficient,효율적인
drought,가뭄
cope,대처하다
standard,기준
cautious,신중한
available,이용 가능한
inventor,발명가
research,연구하다
theory,이론
technology,기술
habitat,서식지
muscle,근육
temperature,온도
discover,발견하다
skeleton,골격
freedom,자유
virtual,가상의
element,요소
experiment,실험
predict,예측하다
experience,경험
courage,용기
dedicate,바치다
plateau,고원
community,공동체
solid,고체
ancient,고대의
physical,신체적인
climate,기후
evidence,증거
creative,창의적인
adapt,적응하다
system,체계
project,과제/프로젝트
responsible,책임감 있는
motivate,동기를 부여하다
prevent,예방하다
tsunami,쓰나미
ambitious,야심찬
sequence,수열
improve,향상시키다
achievement,성취
situation,상황
election,선거
volunteer,자원봉사자
observe,관찰하다
contribute,기여하다
curiosity,호기심
devote,헌신하다
information,정보
medicine,약
negotiate,협상하다
procedure,절차
pollution,오염
presentation,발표
determined,단호한
rational,이성적인
ratio,비율
questionnaire,설문지
donate,기부하다
handle,다루다
persuade,설득하다
assignment,과제
circuit,회로
conclusion,결론
atmosphere,대기
nation,국가
population,인구
archipelago,군도
result,결과가 되다
precious,소중한
memory,기억
rule,규칙
criteria,기준(복수)
local,지역의
organ,장기
requirement,요구사항
natural,자연의
communicate,의사소통하다
aspect,측면
report,보고하다
curious,호기심 많은
optimistic,낙관적인
digital,디지털의
logical,논리적인
globalization,세계화
artificial,인공의
latitude,위도
background,배경
confident,자신감 있는
pursue,추구하다
competition,경쟁
organize,조직하다
empower,힘을 실어주다
comfortable,편안한
therapy,치료법
peninsula,반도
diagram,도표
schedule,일정
assumption,가정
considerate,배려하는
opportunity,기회
eventually,결국
flood,홍수
although,비록 ~이지만
diplomat,외교관
besides,게다가
patience,인내심
social,사회적인
tolerant,관대한
ecosystem,생태계
generally,일반적으로
solution,해결책
infection,감염
treatment,치료
modern,현대의
practical,실용적인
canyon,협곡
vitamin,비타민
stubborn,고집센
statistics,통계
disease,질병
resolve,해결하다
technician,기술자
median,중앙값
influence,영향을 주다
hypothesis,가설
energy,에너지
political,정치적인
reaction,반응
average,평균
rainforest,열대우림
material,재료
avalanche,눈사태
