valuable,귀중한
background,배경
infection,감염
accomplish,이루다
savanna,사바나
researcher,연구원
evolution,진화
technology,기술
practical,실용적인
ancient,고대의
inspire,영감을 주다
rule,규칙
angle,각도
project,과제/프로젝트
fail,실패하다
necessary,필요한
latitude,위도
struggle,애쓰다
succeed,성공하다
devote,헌신하다
courage,용기
assignment,과제
compare,비교하다
overcome,극복하다
industry,산업
cope,대처하다
volume,부피
natural,자연의
continent,대륙
circuit,회로
political,정치적인
economy,경제
environment,환경
reduce,줄이다
architect,건축가
result,결과가 되다
archipelago,군도
hygiene,위생
research,연구하다
dedicate,바치다
actually,실제로
efficient,효율적인
atmosphere,대기
emotional,감정적인
honesty,정직함
area,넓이
finally,마침내
climate,기후
geometry,기하학
contribute,기여하다
local,지역의
situation,상황
criteria,기준(복수)
generous,너그러운
summarize,요약하다
communication,의사소통
energy,에너지
survey,설문조사
equator,적도
although,비록 ~이지만
muscle,근육
ambitious,야심찬
report,보고하다
handle,다루다
entrepreneur,사업가
calculate,계산하다
analyst,분석가
prevent,예방하다
manage,관리하다
battery,건전지
confident,자신감 있는
hemisphere,반구
ecosystem,생태계
ratio,비율
volunteer,자원봉사자
estimate,추정하다
presentation,발표
sacrifice,희생하다
cultural,문화적인
endure,견뎌내다
interpreter,통역가
freedom,자유
flood,홍수
graph,그래프
diagram,도표
immune,면역의
community,공동체
avalanche,눈사태
artificial,인공의
inventor,발명가
habitat,서식지
chart,차트
radius,반지름
standpoint,입장
probably,아마도
nutrition,영양
responsibility,책임
orbit,궤도
determined,단호한
probability,확률
aspect,측면
investigate,조사하다
cause,원인이 되다
tsunami,쓰나미
structure,구조
evaluate,평가하다
tolerate,견디다
strive,노력하다
rational,이성적인
canyon,협곡
species,종(생물)
equation,방정식
however,그러나
election,선거
traditional,전통적인
knowledge,지식
tradition,전통
affect,영향을 미치다
conclude,결론짓다
population,인구
economist,경제학자
statistics,통계
imagination,상상력
questionnaire,설문지
sincere,진실한
context,맥락
curious,호기심 많은
certainly,확실히
hurricane,허리케인
certificate,증명서
chemical,화학물질
tundra,툰드라
diplomat,외교관
trade,무역
society,사회
negotiate,협상하다
globalization,세계화
reaction,반응
reasonable,합리적인
document,문서
editor,편집자
democracy,민주주의
modest,겸손한
achievement,성취
vaccine,백신
cautious,신중한
element,요소
recovery,회복
improve,향상시키다
stubborn,고집센
