kind,친절한
excited,신난
farmer,농부
taxi,택시
journalist,기자
coast,해안
station,역
root,뿌리
careless,부주의한
grandparent,조부모
theater,극장
measure,측정하다
cloudy,흐린
cycling,자전거타기
niece,조카(여)
bookstore,서점
nervous,긴장한
homework,숙제
safe,안전한
singing,노래하기
useful,유용한
driver,운전사
athlete,운동선수
important,중요한
gardening,정원 가꾸기
disagree,반대하다
enter,들어가다
shy,수줍은
rude,무례한
diamond,다이아몬드 모양
planet,행성
Korean,국어
salty,짠
warm,따뜻한
plan,계획하다
honest,정직한
wish,소망하다
arrive,도착하다
cook,요리사
farm,농장
badminton,배드민턴
basketball,농구
stranger,낯선 사람
drawing,그리기
subject,과목
create,만들다
cousin,사촌
baking,빵 굽기
lawyer,변호사
borrow,빌리다
cliff,절벽
collect,모으다
solve,풀다
fishing,낚시
compare,비교하다
mix,섞다
trail,오솔길
agree,동의하다
painting,그림 그리기
frozen,냉동된
toy store,장난감 가게
dancing,춤추기
explain,설명하다
brave,용감한
attend,참석하다
August,8월
boxing,권투
useless,쓸모없는
tennis,테니스
magician,마술사
arrange,배열하다
introduce,소개하다
number,숫자
discover,발견하다
cafeteria,급식실
soccer,축구
ant,개미
relieved,안도하는
leave,떠나다
earthquake,지진
wonderful,멋진
remember,기억하다
fresh,신선한
airplane,비행기
English,영어
bored,지루한
rocket,로켓
writer,작가
sweet,달콤한
spicy,매운
equal,같은
November,11월
invite,초대하다
famous,유명한
engineer,기술자
motorcycle,오토바이
minus,빼기
skiing,스키타기
rainy,비오는
boil,끓이다
different,다른
sour,신
truck,트럭
tunnel,터널
June,6월
class,수업
dream,꿈꾸다
bee,벌
rectangle,직사각형
minute,분
plus,더하기
encourage,격려하다
firefighter,소방관
bake,굽다
fire truck,소방차
September,9월
golf,골프
March,3월
April,4월
butterfly,나비
grow,자라다
scared,무서워하는
special,특별한
humid,습한
seed,씨앗
boat,보트
choose,고르다
start,시작하다
church,교회
guess,추측하다
submarine,잠수함
dancer,무용수
respect,존중하다
freezing,꽁꽁 언
astronaut,우주비행사
spider,거미
lonely,외로운
foggy,안개낀
forest,숲
ingredient,재료
January,1월
snowy,눈오는
participate,참가하다
singer,가수
build,짓다
meadow,초원
windy,바람부는
train,기차
nurse,간호사
hallway,복도
actress,배우(여)
proud,자랑스러운
jealous,질투하는
hour,시간
quiet,조용한
guard,경비원
surfing,서핑
hiking,등산
holiday,휴일
confused,혼란스러운
soldier,군인
forget,잊다
museum,박물관
o'clock,정각
suggest,제안하다
October,10월
sunny,화창한
return,돌아오다/반납하다
discuss,의논하다
doubt,의심하다
math,수학
tower,탑
disappointed,실망한
judge,판사
triangle,삼각형
police officer,경찰관
valley,계곡
uniform,교복
dangerous,위험한
lake,호수
nephew,조카(남)
principal,교장선생님
prepare,준비하다
partner,짝
admire,감탄하다
circle,원
uncomfortable,불편한
music,음악
polite,예의바른
count,세다
finish,끝내다
February,2월
volcano,화산
bridge,다리(건축물)
promise,약속하다
plant,식물
December,12월
careful,조심스러운
running,달리기
history,역사
desert,사막
collecting,수집하기
test,시험
trust,믿다
noisy,시끄러운
worried,걱정하는
hockey,하키
ambulance,구급차
photographer,사진작가
flavor,맛
jungle,정글
popular,인기있는
pilot,조종사
exit,나가다
gym,체육관
surprised,놀란
practice,연습하다
comfortable,편안한
ship,배
table tennis,탁구
jogging,조깅
apologize,사과하다
path,길
gymnastics,체조
protect,보호하다
baker,제빵사
difficult,어려운
organize,정리하다
dentist,치과의사
pond,연못
semester,학기
curious,궁금한
swimming,수영
bank,은행
cool,시원한
weigh,무게를 재다
visit,방문하다
camping,캠핑
warn,경고하다
science,과학
invent,발명하다
auditorium,강당
similar,비슷한
cheap,싼
locker,사물함
schedule,시간표
actor,배우(남)
airport,공항
leaf,잎
insect,곤충
vet,수의사
change,바꾸다
baseball,야구
painter,화가
continue,계속하다
second,초
subway,지하철
branch,나뭇가지
cave,동굴
July,7월
embarrassed,당황한
classmate,반친구
imagine,상상하다
post office,우체국
bakery,빵집
lend,빌려주다
librarian,사서
begin,시작하다
May,5월
scientist,과학자
neighbor,이웃
waterfall,폭포
taekwondo,태권도
decide,결정하다
island,섬
swamp,늪
doctor,의사
oval,타원
bicycle,자전거
square,정사각형
fry,튀기다
factory,공장
expensive,비싼
describe,묘사하다
hope,바라다
art,미술
cooking,요리하기
harbor,항구
bus,버스
repair,고치다
volleyball,배구
wonder,궁금해하다
recipe,조리법
complain,불평하다
textbook,교과서
temple,절
bitter,쓴
designer,디자이너
city hall,시청
skating,스케이트타기
