kind,친절한
excited,신난
farmer,농부
taxi,택시
journalist,기자
coast,해안
station,역
root,뿌리
careless,부주의한
grandparent,조부모
theater,극장
measure,측정하다
cloudy,흐린
cycling,자전거타기
niece,조카(여)
bookstore,서점
nervous,긴장한
homework,숙제
safe,안전한
singing,노래하기
useful,유용한
driver,운전사
athlete,운동선수
important,중요한
gardening,정원 가꾸기
disagree,반대하다
enter,들어가다
shy,수줍은
rude,무례한
diamond,다이아몬드 모양
planet,행성
Korean,국어
salty,짠
warm,따뜻한
plan,계획하다
honest,정직한
wish,소망하다
arrive,도착하다
cook,요리사
farm,농장
badminton,배드민턴
basketball,농구
stranger,낯선 사람
drawing,그리기
subject,과목
create,만들다
cousin,사촌
baking,빵 굽기
lawyer,변호사
borrow,빌리다
cliff,절벽
collect,모으다
solve,풀다
fishing,낚시
compare,비교하다
mix,섞다
trail,오솔길
agree,동의하다
painting,그림 그리기
frozen,냉동된
toy store,장난감 가게
dancing,춤추기
explain,설명하다
brave,용감한
attend,참석하다
August,8월
boxing,권투
useless,쓸모없는
tennis,테니스
magician,마술사
arrange,배열하다
introduce,소개하다
number,숫자
discover,발견하다
cafeteria,급식실
soccer,축구
ant,개미
relieved,안도하는
leave,떠나다
earthquake,지진
wonderful,멋진
remember,기억하다
fresh,신선한
airplane,비행기
English,영어
bored,지루한
rocket,로켓
writer,작가
sweet,달콤한
spicy,매운
equal,같은
November,11월
invite,초대하다
famous,유명한
engineer,기술자
motorcycle,오토바이
minus,빼기
skiing,스키타기
rainy,비오는
boil,끓이다
different,다른
sour,신
truck,트럭
tunnel,터널
June,6월
class,수업
dream,꿈꾸다
bee,벌
rectangle,직사각형
minute,분
plus,더하기
encourage,격려하다
firefighter,소방관
bake,굽다
fire truck,소방차
September,9월
golf,골프
March,3월
April,4월
butterfly,나비
grow,자라다
scared,무서워하는
special,특별한
humid,습한
seed,씨앗
boat,보트
choose,고르다
start,시작하다
church,교회
guess,추측하다
submarine,잠수함
dancer,무용수
respect,존중하다
freezing,꽁꽁 언
astronaut,우주비행사
spider,거미
lonely,외로운
foggy,안개낀
forest,숲
ingredient,재료
January,1월
snowy,눈오는
participate,참가하다
singer,가수
build,짓다
meadow,초원
windy,바람부는
train,기차
nurse,간호사
hallway,복도
