atmosphere,대기
volume,부피
evaluate,평가하다
formula,공식
evidence,증거
magnet,자석
survey,설문조사
solution,해결책
achieve,성취하다
force,힘
patience,인내심
competition,경쟁
geometry,기하학
schedule,일정
conclusion,결론
cooperate,협력하다
diplomat,외교관
globalization,세계화
society,사회
ratio,비율
plateau,고원
although,비록 ~이지만
element,요소
reasonable,합리적인
convince,설득하다
factor,요인
overcome,극복하다
knowledge,지식
medicine,약
technology,기술
symptom,증상
precious,소중한
predict,예측하다
tundra,툰드라
consultant,상담가
immune,면역의
devote,헌신하다
pessimistic,비관적인
information,정보
protein,단백질
artificial,인공의
virtual,가상의
negotiate,협상하다
climate,기후
requirement,요구사항
energy,에너지
vitamin,비타민
chemical,화학물질
gravity,중력
standard,기준
argument,논쟁
freedom,자유
imagine,상상하다
perspective,관점
usually,보통
deadline,마감일
honesty,정직함
pollution,오염
citizen,시민
hurricane,허리케인
certificate,증명서
assignment,과제
generous,너그러운
equator,적도
confidence,자신감
graph,그래프
perimeter,둘레
result,결과가 되다
cause,원인이 되다
tolerate,견디다
habitat,서식지
adapt,적응하다
ambitious,야심찬
inventor,발명가
circuit,회로
responsible,책임감 있는
poverty,가난
democracy,민주주의
editor,편집자
determined,단호한
orbit,궤도
percentage,백분율
calculate,계산하다
communication,의사소통
handle,다루다
system,체계
rainforest,열대우림
canyon,협곡
reduce,줄이다
infection,감염
environment,환경
standpoint,입장
flood,홍수
treatment,치료
suddenly,갑자기
researcher,연구원
agriculture,농업
economic,경제적인
actually,실제로
contribute,기여하다
imagination,상상력
criteria,기준(복수)
experience,경험
humble,겸손한
digital,디지털의
architect,건축가
improve,향상시키다
analyst,분석가
longitude,경도
efficient,효율적인
challenge,도전
document,문서
certainly,확실히
law,법
especially,특히
analyze,분석하다
investigate,조사하다
effort,노력
ecosystem,생태계
manage,관리하다
context,맥락
available,이용 가능한
global,전 세계적인
create,창조하다
wealth,부유함
electricity,전기
right,권리
succeed,성공하다
hemisphere,반구
natural,자연의
culture,문화
gas,기체
translator,번역가
therefore,그러므로
duty,의무
modern,현대의
social,사회적인
trade,무역
official,공식적인
influence,영향을 주다
achievement,성취
skeleton,골격
sacrifice,희생하다
responsibility,책임
report,보고하다
heritage,유산
rational,이성적인
fact,사실
cautious,신중한
entrepreneur,사업가
adjust,조정하다
summarize,요약하다
opinion,의견
endure,견뎌내다
struggle,애쓰다
optimistic,낙관적인
courage,용기
strive,노력하다
hypothesis,가설
component,구성요소
observe,관찰하다
affect,영향을 미치다
recovery,회복
cope,대처하다
temperature,온도
assumption,가정
thoughtful,사려깊은
rule,규칙
discover,발견하다
empower,힘을 실어주다
independence,독립
population,인구
delta,삼각주
peninsula,반도
local,지역의
compromise,타협하다
mental,정신적인
cooperation,협동
solid,고체
oxygen,산소
donate,기부하다
community,공동체
physical,신체적인
memory,기억
aspect,측면
persuade,설득하다
confident,자신감 있는
however,그러나
accomplish,이루다
instead,대신에
opportunity,기회
matter,물질
questionnaire,설문지
theory,이론
diagram,도표
statistics,통계
comfortable,편안한
dedicate,바치다
traditional,전통적인
economist,경제학자
situation,상황
presentation,발표
sensitive,민감한
participate,참여하다
pursue,추구하다
vaccine,백신
considerate,배려하는
valuable,귀중한
research,연구하다
equation,방정식
volunteer,자원봉사자
background,배경
inspire,영감을 주다
emotional,감정적인
decimal,소수
reason,이유
government,정부
tradition,전통
procedure,절차
tsunami,쓰나미
stubborn,고집센
avalanche,눈사태
disease,질병
average,평균
latitude,위도
practical,실용적인
prevent,예방하다
structure,구조
carbon,탄소
tax,세금
guideline,지침
sequence,수열
material,재료
political,정치적인
radius,반지름
nutrition,영양
evolution,진화
cultural,문화적인
politician,정치인
record,기록하다
probability,확률
organ,장기
tolerant,관대한
logical,논리적인
diameter,지름
estimate,추정하다
savanna,사바나
drought,가뭄
reaction,반응
median,중앙값
continent,대륙
nation,국가
fraction,분수
liquid,액체
otherwise,그렇지 않으면
creativity,창의성
generally,일반적으로
therapy,치료법
curiosity,호기심
compare,비교하다
technician,기술자
species,종(생물)
eventually,결국
area,넓이
conclude,결론짓다
finally,마침내
necessary,필요한
industry,산업
besides,게다가
meanwhile,그 동안에
organize,조직하다
process,과정
election,선거
experiment,실험
curious,호기심 많은
sincere,진실한
glacier,빙하
angle,각도
chart,차트
battery,건전지
argue,주장하다
motivate,동기를 부여하다
economy,경제
resolve,해결하다
ancient,고대의
interpreter,통역가
fail,실패하다
publisher,출판인
hygiene,위생
archipelago,군도
instruction,지시
viewpoint,견해
modest,겸손한
probably,아마도
communicate,의사소통하다
arrogant,거만한
project,과제/프로젝트
resource,자원
creative,창의적인
muscle,근육
