context,맥락
creative,창의적인
sincere,진실한
graph,그래프
liquid,액체
effort,노력
gas,기체
emotional,감정적인
dedicate,바치다
median,중앙값
tolerate,견디다
technology,기술
material,재료
local,지역의
assignment,과제
democracy,민주주의
curious,호기심 많은
estimate,추정하다
considerate,배려하는
tradition,전통
nation,국가
hurricane,허리케인
volunteer,자원봉사자
curiosity,호기심
adapt,적응하다
opportunity,기회
stubborn,고집센
disease,질병
patience,인내심
strive,노력하다
fraction,분수
tolerant,관대한
population,인구
physical,신체적인
imagine,상상하다
freedom,자유
analyst,분석가
species,종(생물)
determined,단호한
instruction,지시
politician,정치인
probability,확률
knowledge,지식
natural,자연의
achieve,성취하다
competition,경쟁
opinion,의견
duty,의무
circuit,회로
habitat,서식지
force,힘
therapy,치료법
confident,자신감 있는
savanna,사바나
fail,실패하다
battery,건전지
compromise,타협하다
rule,규칙
participate,참여하다
record,기록하다
process,과정
independence,독립
hemisphere,반구
conclude,결론짓다
memory,기억
prevent,예방하다
guideline,지침
energy,에너지
volume,부피
solid,고체
editor,편집자
resource,자원
climate,기후
muscle,근육
temperature,온도
cooperate,협력하다
gravity,중력
available,이용 가능한
matter,물질
handle,다루다
besides,게다가
mental,정신적인
latitude,위도
protein,단백질
technician,기술자
ecosystem,생태계
evidence,증거
requirement,요구사항
manage,관리하다
organize,조직하다
improve,향상시키다
background,배경
atmosphere,대기
overcome,극복하다
pursue,추구하다
chemical,화학물질
wealth,부유함
consultant,상담가
avalanche,눈사태
practical,실용적인
adjust,조정하다
document,문서
procedure,절차
arrogant,거만한
generous,너그러운
globalization,세계화
tundra,툰드라
hypothesis,가설
pessimistic,비관적인
usually,보통
investigate,조사하다
struggle,애쓰다
trade,무역
succeed,성공하다
experiment,실험
delta,삼각주
agriculture,농업
recovery,회복
responsible,책임감 있는
ambitious,야심찬
translator,번역가
theory,이론
entrepreneur,사업가
sacrifice,희생하다
actually,실제로
glacier,빙하
orbit,궤도
standpoint,입장
precious,소중한
confidence,자신감
canyon,협곡
deadline,마감일
architect,건축가
information,정보
conclusion,결론
suddenly,갑자기
interpreter,통역가
certainly,확실히
factor,요인
global,전 세계적인
area,넓이
eventually,결국
instead,대신에
although,비록 ~이지만
hygiene,위생
responsibility,책임
especially,특히
reasonable,합리적인
compare,비교하다
otherwise,그렇지 않으면
radius,반지름
argue,주장하다
researcher,연구원
statistics,통계
average,평균
cautious,신중한
sequence,수열
continent,대륙
questionnaire,설문지
longitude,경도
decimal,소수
necessary,필요한
finally,마침내
meanwhile,그 동안에
discover,발견하다
inspire,영감을 주다
symptom,증상
however,그러나
report,보고하다
economist,경제학자
courage,용기
reaction,반응
equation,방정식
formula,공식
empower,힘을 실어주다
logical,논리적인
experience,경험
analyze,분석하다
virtual,가상의
evolution,진화
social,사회적인
magnet,자석
honesty,정직함
medicine,약
endure,견뎌내다
geometry,기하학
thoughtful,사려깊은
persuade,설득하다
diagram,도표
artificial,인공의
valuable,귀중한
donate,기부하다
evaluate,평가하다
viewpoint,견해
electricity,전기
cause,원인이 되다
reduce,줄이다
influence,영향을 주다
tax,세금
summarize,요약하다
infection,감염
achievement,성취
negotiate,협상하다
predict,예측하다
argument,논쟁
challenge,도전
fact,사실
economy,경제
generally,일반적으로
citizen,시민
treatment,치료
criteria,기준(복수)
ratio,비율
immune,면역의
situation,상황
cultural,문화적인
peninsula,반도
drought,가뭄
pollution,오염
culture,문화
tsunami,쓰나미
result,결과가 되다
imagination,상상력
motivate,동기를 부여하다
government,정부
survey,설문조사
probably,아마도
society,사회
humble,겸손한
reason,이유
therefore,그러므로
plateau,고원
inventor,발명가
comfortable,편안한
system,체계
calculate,계산하다
vaccine,백신
carbon,탄소
archipelago,군도
election,선거
equator,적도
assumption,가정
cope,대처하다
diplomat,외교관
environment,환경
oxygen,산소
angle,각도
community,공동체
flood,홍수
create,창조하다
cooperation,협동
component,구성요소
law,법
perimeter,둘레
chart,차트
efficient,효율적인
accomplish,이루다
official,공식적인
right,권리
traditional,전통적인
resolve,해결하다
rainforest,열대우림
digital,디지털의
structure,구조
element,요소
sensitive,민감한
publisher,출판인
contribute,기여하다
standard,기준
ancient,고대의
heritage,유산
vitamin,비타민
modest,겸손한
organ,장기
perspective,관점
poverty,가난
presentation,발표
percentage,백분율
convince,설득하다
optimistic,낙관적인
modern,현대의
diameter,지름
nutrition,영양
creativity,창의성
certificate,증명서
solution,해결책
communicate,의사소통하다
political,정치적인
affect,영향을 미치다
devote,헌신하다
industry,산업
schedule,일정
rational,이성적인
economic,경제적인
research,연구하다
communication,의사소통
project,과제/프로젝트
observe,관찰하다
aspect,측면
skeleton,골격
