photographer,사진작가
running,달리기
wish,소망하다
grandparent,조부모
writer,작가
o'clock,정각
ship,배
tennis,테니스
uniform,교복
music,음악
protect,보호하다
forest,숲
careful,조심스러운
insect,곤충
surprised,놀란
lawyer,변호사
grow,자라다
May,5월
bus,버스
path,길
soccer,축구
October,10월
cloudy,흐린
discover,발견하다
discuss,의논하다
spicy,매운
measure,측정하다
schedule,시간표
suggest,제안하다
explain,설명하다
count,세다
warn,경고하다
station,역
table tennis,탁구
farmer,농부
camping,캠핑
singing,노래하기
rectangle,직사각형
recipe,조리법
triangle,삼각형
nurse,간호사
harbor,항구
golf,골프
post office,우체국
popular,인기있는
soldier,군인
collecting,수집하기
science,과학
honest,정직한
bookstore,서점
bee,벌
volcano,화산
cliff,절벽
imagine,상상하다
minus,빼기
baker,제빵사
judge,판사
admire,감탄하다
wonderful,멋진
solve,풀다
dentist,치과의사
cycling,자전거타기
history,역사
firefighter,소방관
scared,무서워하는
taekwondo,태권도
special,특별한
swamp,늪
leave,떠나다
useless,쓸모없는
homework,숙제
airplane,비행기
bakery,빵집
niece,조카(여)
cousin,사촌
second,초
theater,극장
square,정사각형
auditorium,강당
encourage,격려하다
subway,지하철
plus,더하기
fishing,낚시
confused,혼란스러운
singer,가수
safe,안전한
organize,정리하다
compare,비교하다
February,2월
desert,사막
excited,신난
plan,계획하다
math,수학
noisy,시끄러운
baseball,야구
factory,공장
actor,배우(남)
truck,트럭
brave,용감한
remember,기억하다
build,짓다
create,만들다
skating,스케이트타기
holiday,휴일
pond,연못
lake,호수
train,기차
hour,시간
similar,비슷한
subject,과목
athlete,운동선수
worried,걱정하는
change,바꾸다
frozen,냉동된
June,6월
cafeteria,급식실
rocket,로켓
expensive,비싼
hallway,복도
temple,절
flavor,맛
tunnel,터널
librarian,사서
circle,원
humid,습한
guess,추측하다
driver,운전사
locker,사물함
participate,참가하다
bitter,쓴
repair,고치다
art,미술
describe,묘사하다
submarine,잠수함
September,9월
basketball,농구
different,다른
windy,바람부는
spider,거미
gardening,정원 가꾸기
disagree,반대하다
December,12월
earthquake,지진
attend,참석하다
leaf,잎
wonder,궁금해하다
ant,개미
January,1월
proud,자랑스러운
warm,따뜻한
dangerous,위험한
dream,꿈꾸다
airport,공항
semester,학기
equal,같은
gymnastics,체조
journalist,기자
boil,끓이다
disappointed,실망한
embarrassed,당황한
taxi,택시
neighbor,이웃
cave,동굴
apologize,사과하다
hope,바라다
collect,모으다
nervous,긴장한
invent,발명하다
kind,친절한
classmate,반친구
invite,초대하다
museum,박물관
partner,짝
volleyball,배구
freezing,꽁꽁 언
weigh,무게를 재다
agree,동의하다
curious,궁금한
rude,무례한
waterfall,폭포
respect,존중하다
branch,나뭇가지
start,시작하다
stranger,낯선 사람
relieved,안도하는
astronaut,우주비행사
principal,교장선생님
doubt,의심하다
uncomfortable,불편한
engineer,기술자
plant,식물
foggy,안개낀
planet,행성
forget,잊다
gym,체육관
trail,오솔길
tower,탑
shy,수줍은
scientist,과학자
enter,들어가다
boxing,권투
borrow,빌리다
sweet,달콤한
useful,유용한
April,4월
dancer,무용수
class,수업
July,7월
famous,유명한
magician,마술사
polite,예의바른
coast,해안
quiet,조용한
practice,연습하다
cheap,싼
police officer,경찰관
painter,화가
November,11월
mix,섞다
difficult,어려운
decide,결정하다
motorcycle,오토바이
designer,디자이너
lend,빌려주다
butterfly,나비
pilot,조종사
fry,튀기다
March,3월
bake,굽다
visit,방문하다
arrange,배열하다
jogging,조깅
meadow,초원
promise,약속하다
prepare,준비하다
sour,신
lonely,외로운
painting,그림 그리기
finish,끝내다
skiing,스키타기
important,중요한
trust,믿다
actress,배우(여)
root,뿌리
swimming,수영
island,섬
ingredient,재료
Korean,국어
careless,부주의한
choose,고르다
surfing,서핑
church,교회
complain,불평하다
bridge,다리(건축물)
sunny,화창한
guard,경비원
valley,계곡
test,시험
boat,보트
ambulance,구급차
number,숫자
English,영어
minute,분
continue,계속하다
cooking,요리하기
August,8월
bank,은행
fresh,신선한
jealous,질투하는
begin,시작하다
bored,지루한
snowy,눈오는
cook,요리사
textbook,교과서
farm,농장
fire truck,소방차
drawing,그리기
vet,수의사
baking,빵 굽기
return,돌아오다/반납하다
badminton,배드민턴
comfortable,편안한
oval,타원
introduce,소개하다
dancing,춤추기
nephew,조카(남)
exit,나가다
doctor,의사
arrive,도착하다
bicycle,자전거
rainy,비오는
toy store,장난감 가게
hiking,등산
city hall,시청
diamond,다이아몬드 모양
hockey,하키
cool,시원한
jungle,정글
seed,씨앗
salty,짠
