argue,주장하다
sensitive,민감한
archipelago,군도
create,창조하다
virtual,가상의
observe,관찰하다
background,배경
affect,영향을 미치다
otherwise,그렇지 않으면
orbit,궤도
competition,경쟁
politician,정치인
achievement,성취
equation,방정식
volume,부피
handle,다루다
assumption,가정
canyon,협곡
therapy,치료법
responsible,책임감 있는
meanwhile,그 동안에
communication,의사소통
delta,삼각주
glacier,빙하
globalization,세계화
publisher,출판인
species,종(생물)
donate,기부하다
contribute,기여하다
ancient,고대의
wealth,부유함
experiment,실험
resource,자원
skeleton,골격
experience,경험
memory,기억
tax,세금
diameter,지름
ambitious,야심찬
fail,실패하다
reduce,줄이다
tolerant,관대한
global,전 세계적인
considerate,배려하는
ecosystem,생태계
infection,감염
editor,편집자
reaction,반응
influence,영향을 주다
election,선거
determined,단호한
continent,대륙
empower,힘을 실어주다
patience,인내심
rainforest,열대우림
structure,구조
material,재료
opinion,의견
valuable,귀중한
environment,환경
questionnaire,설문지
area,넓이
natural,자연의
result,결과가 되다
cooperate,협력하다
tsunami,쓰나미
certainly,확실히
although,비록 ~이지만
organ,장기
drought,가뭄
hemisphere,반구
arrogant,거만한
conclude,결론짓다
courage,용기
angle,각도
thoughtful,사려깊은
tundra,툰드라
eventually,결국
logical,논리적인
treatment,치료
inventor,발명가
challenge,도전
summarize,요약하다
freedom,자유
theory,이론
criteria,기준(복수)
duty,의무
adapt,적응하다
standpoint,입장
circuit,회로
effort,노력
oxygen,산소
battery,건전지
vaccine,백신
pollution,오염
translator,번역가
creative,창의적인
conclusion,결론
overcome,극복하다
besides,게다가
economy,경제
situation,상황
compare,비교하다
efficient,효율적인
hygiene,위생
participate,참여하다
element,요소
estimate,추정하다
precious,소중한
interpreter,통역가
cause,원인이 되다
technology,기술
accomplish,이루다
curious,호기심 많은
atmosphere,대기
magnet,자석
entrepreneur,사업가
chart,차트
fraction,분수
reasonable,합리적인
geometry,기하학
however,그러나
analyze,분석하다
presentation,발표
probably,아마도
liquid,액체
evidence,증거
adjust,조정하다
industry,산업
responsibility,책임
endure,견뎌내다
persuade,설득하다
prevent,예방하다
sacrifice,희생하다
usually,보통
right,권리
flood,홍수
researcher,연구원
statistics,통계
survey,설문조사
record,기록하다
project,과제/프로젝트
communicate,의사소통하다
rational,이성적인
achieve,성취하다
viewpoint,견해
savanna,사바나
optimistic,낙관적인
struggle,애쓰다
hurricane,허리케인
social,사회적인
economic,경제적인
cooperation,협동
latitude,위도
longitude,경도
mental,정신적인
consultant,상담가
curiosity,호기심
context,맥락
assignment,과제
cautious,신중한
force,힘
emotional,감정적인
median,중앙값
democracy,민주주의
culture,문화
predict,예측하다
ratio,비율
matter,물질
especially,특히
population,인구
local,지역의
avalanche,눈사태
negotiate,협상하다
modern,현대의
temperature,온도
nutrition,영양
artificial,인공의
component,구성요소
therefore,그러므로
plateau,고원
guideline,지침
volunteer,자원봉사자
traditional,전통적인
symptom,증상
percentage,백분율
physical,신체적인
trade,무역
generous,너그러운
honesty,정직함
opportunity,기회
community,공동체
fact,사실
agriculture,농업
compromise,타협하다
decimal,소수
certificate,증명서
pessimistic,비관적인
confidence,자신감
official,공식적인
electricity,전기
rule,규칙
confident,자신감 있는
investigate,조사하다
tradition,전통
process,과정
political,정치적인
actually,실제로
research,연구하다
vitamin,비타민
instruction,지시
practical,실용적인
evolution,진화
creativity,창의성
calculate,계산하다
modest,겸손한
cultural,문화적인
citizen,시민
government,정부
diagram,도표
muscle,근육
perimeter,둘레
improve,향상시키다
society,사회
gas,기체
generally,일반적으로
requirement,요구사항
pursue,추구하다
carbon,탄소
recovery,회복
sequence,수열
technician,기술자
climate,기후
energy,에너지
procedure,절차
peninsula,반도
disease,질병
motivate,동기를 부여하다
graph,그래프
necessary,필요한
imagination,상상력
tolerate,견디다
equator,적도
inspire,영감을 주다
perspective,관점
diplomat,외교관
dedicate,바치다
devote,헌신하다
sincere,진실한
standard,기준
argument,논쟁
solid,고체
document,문서
imagine,상상하다
cope,대처하다
architect,건축가
deadline,마감일
system,체계
convince,설득하다
report,보고하다
finally,마침내
resolve,해결하다
suddenly,갑자기
law,법
average,평균
schedule,일정
information,정보
heritage,유산
formula,공식
organize,조직하다
aspect,측면
knowledge,지식
manage,관리하다
humble,겸손한
reason,이유
strive,노력하다
economist,경제학자
solution,해결책
succeed,성공하다
hypothesis,가설
medicine,약
nation,국가
instead,대신에
protein,단백질
probability,확률
analyst,분석가
radius,반지름
digital,디지털의
discover,발견하다
poverty,가난
evaluate,평가하다
factor,요인
independence,독립
comfortable,편안한
chemical,화학물질
stubborn,고집센
immune,면역의
gravity,중력
habitat,서식지
available,이용 가능한
