organize,정리하다
agree,동의하다
lawyer,변호사
submarine,잠수함
nervous,긴장한
dancer,무용수
describe,묘사하다
comfortable,편안한
salty,짠
lend,빌려주다
bitter,쓴
plant,식물
diamond,다이아몬드 모양
principal,교장선생님
hope,바라다
fishing,낚시
math,수학
disagree,반대하다
leaf,잎
gymnastics,체조
compare,비교하다
snowy,눈오는
theater,극장
warn,경고하다
vet,수의사
leave,떠나다
designer,디자이너
jealous,질투하는
hallway,복도
singer,가수
airplane,비행기
cheap,싼
honest,정직한
noisy,시끄러운
encourage,격려하다
useless,쓸모없는
fresh,신선한
art,미술
coast,해안
pond,연못
police officer,경찰관
science,과학
excited,신난
minute,분
famous,유명한
embarrassed,당황한
cafeteria,급식실
baking,빵 굽기
brave,용감한
airport,공항
shy,수줍은
decide,결정하다
judge,판사
fire truck,소방차
enter,들어가다
scientist,과학자
grandparent,조부모
kind,친절한
subway,지하철
surfing,서핑
tunnel,터널
niece,조카(여)
worried,걱정하는
history,역사
tower,탑
test,시험
March,3월
island,섬
path,길
discuss,의논하다
photographer,사진작가
number,숫자
classmate,반친구
foggy,안개낀
continue,계속하다
actor,배우(남)
meadow,초원
February,2월
wonderful,멋진
ambulance,구급차
running,달리기
bee,벌
dancing,춤추기
nephew,조카(남)
practice,연습하다
journalist,기자
doubt,의심하다
cave,동굴
recipe,조리법
imagine,상상하다
guess,추측하다
painting,그림 그리기
grow,자라다
city hall,시청
harbor,항구
frozen,냉동된
locker,사물함
measure,측정하다
boil,끓이다
lonely,외로운
hiking,등산
relieved,안도하는
windy,바람부는
wish,소망하다
skiing,스키타기
invent,발명하다
badminton,배드민턴
oval,타원
rocket,로켓
class,수업
arrive,도착하다
disappointed,실망한
planet,행성
begin,시작하다
careful,조심스러운
truck,트럭
participate,참가하다
trail,오솔길
gardening,정원 가꾸기
admire,감탄하다
schedule,시간표
textbook,교과서
complain,불평하다
wonder,궁금해하다
suggest,제안하다
count,세다
boat,보트
cloudy,흐린
skating,스케이트타기
August,8월
dentist,치과의사
dangerous,위험한
driver,운전사
cooking,요리하기
arrange,배열하다
seed,씨앗
special,특별한
choose,고르다
farmer,농부
safe,안전한
start,시작하다
train,기차
May,5월
branch,나뭇가지
engineer,기술자
collecting,수집하기
September,9월
lake,호수
taxi,택시
doctor,의사
