gold,금색
hospital,병원
white,흰색
rain,비
whale,고래
pencil,연필
three,셋
one,하나
pink,분홍색
kite,연
watermelon,수박
egg,달걀
clock,시계
market,시장
jump,뛰다
paper,종이
beach,해변
back,뒤
six,여섯
twelve,열둘
red,빨간색
pizza,피자
tall,키가 큰
where,어디
cat,고양이
hot,더운
look,보다
rock,바위
down,아래로
chocolate,초콜릿
nineteen,열아홉
bed,침대
close,닫다
climb,오르다
panda,판다
grass,잔디
sixteen,열여섯
wind,바람
flower,꽃
fat,뚱뚱한
stand,서다
cold,추운
thin,마른
toy car,장난감 자동차
eraser,지우개
cloud,구름
cheese,치즈
snow,눈
good,좋은
tomorrow,내일
hat,모자
foot,발
next,다음/옆
TV,텔레비전
day,날/하루
eye,눈
week,주
grandmother,할머니
slow,느린
coat,코트
swim,수영하다
come,오다
bread,빵
chair,의자
Saturday,토요일
duck,오리
blocks,블록
cup,컵
milk,우유
evening,저녁
chicken,닭
bird,새
weak,약한
mouth,입
we,우리
star,별
board,칠판
ruler,자
black,검은색
dress,원피스
restaurant,식당
horse,말
glue,풀
sun,해
seven,일곱
zoo,동물원
purple,보라색
blue,파란색
head,머리
zebra,얼룩말
eleven,열하나
juice,주스
shirt,셔츠
dad,아빠
I,나
lamp,램프
eight,여덟
strawberry,딸기
listen,듣다
right,오른쪽
chalk,분필
jam,잼
book,책
soup,수프
library,도서관
sit,앉다
sleep,자다
monkey,원숭이
in,안에
hello,안녕(만났을 때)
ball,공
four,넷
kangaroo,캥거루
grandfather,할아버지
please,제발/부탁해
run,달리다
bike,자전거
father,아버지
leg,다리
shoes,신발
boots,부츠
play,놀다
Monday,월요일
sorry,미안해
wash,씻다
thirteen,열셋
easy,쉬운
read,읽다
year,해/년
school,학교
summer,여름
lion,사자
sheep,양
jacket,재킷
big,큰
twenty,스물
new,새로운
on,위에
fly,날다
bad,나쁜
desk,책상
pants,바지
up,위로
dirty,더러운
night,밤
under,아래에
skirt,치마
fox,여우
moon,달
store,가게
giraffe,기린
neck,목
student,학생
computer,컴퓨터
balloon,풍선
Tuesday,화요일
why,왜
robot,로봇
water,물
doll,인형
pretty,예쁜
mom,엄마
orange,주황색
rice,밥/쌀
yellow,노란색
talk,말하다
fourteen,열넷
long,긴
park,공원
no,아니요
brown,갈색
ten,열
fish,물고기
Friday,금요일
cow,소
tiger,호랑이
winter,겨울
tummy,배
mouse,쥐
playground,운동장
meat,고기
front,앞
name,이름
dog,개
arm,팔
two,둘
throw,던지다
sandwich,샌드위치
short,짧은
box,상자
classroom,교실
sing,노래하다
rabbit,토끼
frog,개구리
dolphin,돌고래
strong,힘센
they,그들
drink,마시다
goodbye,잘 가
angry,화난
hamster,햄스터
dance,춤추다
garden,정원
cake,케이크
sister,누나/언니/여동생
Wednesday,수요일
turtle,거북이
banana,바나나
gloves,장갑
pig,돼지
peach,복숭아
salad,샐러드
mountain,산
mother,어머니
open,열다
deer,사슴
elephant,코끼리
ride,타다
cook,요리하다
scarf,목도리
fast,빠른
snake,뱀
friend,친구
who,누구
notebook,공책
walk,걷다
baby,아기
yesterday,어제
crayon,크레용
catch,잡다
help,돕다
how,어떻게
uncle,삼촌
fall,가을
cute,귀여운
hand,손
tooth,이
Thursday,목요일
thanks,고마워
green,초록색
eat,먹다
ice cream,아이스크림
he,그
seventeen,열일곱
left,왼쪽
brother,형/오빠/남동생
five,다섯
plate,접시
hi,안녕
eighteen,열여덟
sky,하늘
phone,전화기
spring,봄
afternoon,오후
sad,슬픈
fifteen,열다섯
hair,머리카락
old,오래된
family,가족
clean,깨끗한
grape,포도
socks,양말
apple,사과
scissors,가위
cookie,쿠키
river,강
you,너
shoulder,어깨
bear,곰
nose,코
draw,그리다
nine,아홉
she,그녀
gray,회색
spoon,숟가락
morning,아침
candy,사탕
write,쓰다
go,가다
puzzle,퍼즐
today,오늘
hamburger,햄버거
month,달/월
teacher,선생님
bag,가방
small,작은
home,집
ok,좋아/알았어
tree,나무
Sunday,일요일
ear,귀
finger,손가락
what,무엇
yes,네
sea,바다
aunt,이모/고모
bye,안녕(헤어질 때)
happy,행복한
owl,부엉이
when,언제
