influence,영향을 주다
evaluate,평가하다
creative,창의적인
background,배경
adapt,적응하다
eventually,결국
habitat,서식지
heritage,유산
society,사회
project,과제/프로젝트
determined,단호한
savanna,사바나
argument,논쟁
effort,노력
experience,경험
freedom,자유
responsibility,책임
necessary,필요한
questionnaire,설문지
publisher,출판인
improve,향상시키다
pursue,추구하다
usually,보통
available,이용 가능한
persuade,설득하다
oxygen,산소
reasonable,합리적인
convince,설득하다
inventor,발명가
economic,경제적인
valuable,귀중한
generous,너그러운
electricity,전기
stubborn,고집센
researcher,연구원
consultant,상담가
guideline,지침
evolution,진화
argue,주장하다
architect,건축가
right,권리
precious,소중한
standard,기준
citizen,시민
optimistic,낙관적인
overcome,극복하다
cautious,신중한
certainly,확실히
traditional,전통적인
ambitious,야심찬
mental,정신적인
force,힘
compare,비교하다
actually,실제로
tradition,전통
element,요소
average,평균
community,공동체
editor,편집자
vitamin,비타민
evidence,증거
law,법
rule,규칙
cooperation,협동
theory,이론
logical,논리적인
emotional,감정적인
statistics,통계
natural,자연의
information,정보
confident,자신감 있는
tax,세금
imagination,상상력
virtual,가상의
equator,적도
curious,호기심 많은
donate,기부하다
context,맥락
agriculture,농업
result,결과가 되다
handle,다루다
median,중앙값
participate,참여하다
independence,독립
nation,국가
volume,부피
affect,영향을 미치다
situation,상황
besides,게다가
viewpoint,견해
component,구성요소
chart,차트
environment,환경
ecosystem,생태계
volunteer,자원봉사자
devote,헌신하다
patience,인내심
economist,경제학자
opportunity,기회
solid,고체
strive,노력하다
industry,산업
carbon,탄소
continent,대륙
investigate,조사하다
perimeter,둘레
organize,조직하다
analyze,분석하다
medicine,약
conclusion,결론
reaction,반응
canyon,협곡
modern,현대의
culture,문화
discover,발견하다
finally,마침내
tundra,툰드라
tolerant,관대한
magnet,자석
instruction,지시
reduce,줄이다
efficient,효율적인
opinion,의견
orbit,궤도
observe,관찰하다
inspire,영감을 주다
election,선거
solution,해결책
suddenly,갑자기
battery,건전지
therefore,그러므로
honesty,정직함
population,인구
equation,방정식
symptom,증상
democracy,민주주의
knowledge,지식
muscle,근육
cooperate,협력하다
climate,기후
probability,확률
temperature,온도
achievement,성취
radius,반지름
dedicate,바치다
deadline,마감일
schedule,일정
infection,감염
confidence,자신감
global,전 세계적인
