tennis,테니스
drawing,그리기
October,10월
boat,보트
actor,배우(남)
trust,믿다
gym,체육관
museum,박물관
expensive,비싼
submarine,잠수함
city hall,시청
shy,수줍은
equal,같은
discuss,의논하다
proud,자랑스러운
choose,고르다
class,수업
plant,식물
careless,부주의한
bridge,다리(건축물)
special,특별한
history,역사
grow,자라다
homework,숙제
planet,행성
return,돌아오다/반납하다
uniform,교복
hockey,하키
continue,계속하다
waterfall,폭포
music,음악
branch,나뭇가지
create,만들다
frozen,냉동된
textbook,교과서
honest,정직한
prepare,준비하다
start,시작하다
excited,신난
embarrassed,당황한
factory,공장
wish,소망하다
tower,탑
police officer,경찰관
wonderful,멋진
different,다른
truck,트럭
lonely,외로운
temple,절
complain,불평하다
dentist,치과의사
famous,유명한
schedule,시간표
uncomfortable,불편한
nurse,간호사
nervous,긴장한
polite,예의바른
disappointed,실망한
suggest,제안하다
square,정사각형
path,길
admire,감탄하다
respect,존중하다
jealous,질투하는
plus,더하기
soccer,축구
disagree,반대하다
farmer,농부
pilot,조종사
forget,잊다
cool,시원한
minute,분
lake,호수
cousin,사촌
noisy,시끄러운
freezing,꽁꽁 언
ingredient,재료
principal,교장선생님
begin,시작하다
jogging,조깅
December,12월
enter,들어가다
kind,친절한
swamp,늪
useful,유용한
swimming,수영
driver,운전사
brave,용감한
diamond,다이아몬드 모양
science,과학
bee,벌
motorcycle,오토바이
March,3월
repair,고치다
imagine,상상하다
island,섬
build,짓다
weigh,무게를 재다
taxi,택시
popular,인기있는
bookstore,서점
toy store,장난감 가게
visit,방문하다
bus,버스
designer,디자이너
subject,과목
fry,튀기다
photographer,사진작가
quiet,조용한
meadow,초원
insect,곤충
scared,무서워하는
cheap,싼
January,1월
fire truck,소방차
soldier,군인
singing,노래하기
golf,골프
triangle,삼각형
fresh,신선한
theater,극장
classmate,반친구
church,교회
volleyball,배구
difficult,어려운
important,중요한
boil,끓이다
desert,사막
butterfly,나비
count,세다
snowy,눈오는
bored,지루한
partner,짝
gymnastics,체조
forest,숲
sweet,달콤한
astronaut,우주비행사
cliff,절벽
writer,작가
collecting,수집하기
useless,쓸모없는
auditorium,강당
dancing,춤추기
guess,추측하다
badminton,배드민턴
introduce,소개하다
warn,경고하다
cook,요리사
test,시험
careful,조심스러운
