endure,견뎌내다
creativity,창의성
battery,건전지
solution,해결책
guideline,지침
prevent,예방하다
curiosity,호기심
finally,마침내
fact,사실
cooperate,협력하다
inspire,영감을 주다
deadline,마감일
component,구성요소
generally,일반적으로
evidence,증거
although,비록 ~이지만
canyon,협곡
element,요소
wealth,부유함
imagination,상상력
virtual,가상의
atmosphere,대기
eventually,결국
diameter,지름
effort,노력
average,평균
comfortable,편안한
rational,이성적인
emotional,감정적인
curious,호기심 많은
honesty,정직함
viewpoint,견해
tundra,툰드라
ambitious,야심찬
hypothesis,가설
contribute,기여하다
pessimistic,비관적인
medicine,약
infection,감염
achievement,성취
treatment,치료
affect,영향을 미치다
official,공식적인
statistics,통계
heritage,유산
nation,국가
electricity,전기
hemisphere,반구
radius,반지름
hygiene,위생
assignment,과제
independence,독립
environment,환경
confidence,자신감
determined,단호한
instead,대신에
community,공동체
formula,공식
modern,현대의
globalization,세계화
therapy,치료법
skeleton,골격
chemical,화학물질
tsunami,쓰나미
chart,차트
symptom,증상
adapt,적응하다
stubborn,고집센
resolve,해결하다
arrogant,거만한
background,배경
politician,정치인
fraction,분수
force,힘
analyze,분석하다
law,법
procedure,절차
factor,요인
assumption,가정
industry,산업
project,과제/프로젝트
persuade,설득하다
knowledge,지식
volunteer,자원봉사자
necessary,필요한
presentation,발표
estimate,추정하다
citizen,시민
percentage,백분율
usually,보통
argument,논쟁
accomplish,이루다
election,선거
empower,힘을 실어주다
efficient,효율적인
participate,참여하다
document,문서
editor,편집자
equator,적도
diagram,도표
organize,조직하다
plateau,고원
opportunity,기회
species,종(생물)
strive,노력하다
thoughtful,사려깊은
area,넓이
cope,대처하다
digital,디지털의
tax,세금
schedule,일정
certificate,증명서
liquid,액체
conclusion,결론
process,과정
culture,문화
probability,확률
evaluate,평가하다
economy,경제
calculate,계산하다
habitat,서식지
cautious,신중한
observe,관찰하다
imagine,상상하다
geometry,기하학
memory,기억
decimal,소수
investigate,조사하다
improve,향상시키다
argue,주장하다
traditional,전통적인
tolerant,관대한
gravity,중력
reaction,반응
muscle,근육
ancient,고대의
right,권리
overcome,극복하다
confident,자신감 있는
summarize,요약하다
sensitive,민감한
freedom,자유
magnet,자석
aspect,측면
experiment,실험
succeed,성공하다
translator,번역가
flood,홍수
structure,구조
optimistic,낙관적인
