actress,배우(여)
singing,노래하기
bus,버스
October,10월
meadow,초원
scientist,과학자
gardening,정원 가꾸기
city hall,시청
oval,타원
circle,원
principal,교장선생님
proud,자랑스러운
rude,무례한
suggest,제안하다
painter,화가
o'clock,정각
visit,방문하다
police officer,경찰관
taxi,택시
useless,쓸모없는
bee,벌
warn,경고하다
gym,체육관
uncomfortable,불편한
cloudy,흐린
singer,가수
trail,오솔길
factory,공장
admire,감탄하다
different,다른
camping,캠핑
confused,혼란스러운
dancer,무용수
plant,식물
square,정사각형
collect,모으다
weigh,무게를 재다
baking,빵 굽기
prepare,준비하다
auditorium,강당
judge,판사
honest,정직한
start,시작하다
kind,친절한
submarine,잠수함
bakery,빵집
spicy,매운
repair,고치다
windy,바람부는
theater,극장
tennis,테니스
cliff,절벽
complain,불평하다
diamond,다이아몬드 모양
desert,사막
bicycle,자전거
return,돌아오다/반납하다
music,음악
badminton,배드민턴
root,뿌리
November,11월
boxing,권투
niece,조카(여)
airplane,비행기
sour,신
baseball,야구
minute,분
tower,탑
doubt,의심하다
tunnel,터널
plan,계획하다
borrow,빌리다
history,역사
swimming,수영
volleyball,배구
introduce,소개하다
gymnastics,체조
decide,결정하다
create,만들다
invite,초대하다
hallway,복도
relieved,안도하는
toy store,장난감 가게
build,짓다
English,영어
writer,작가
Korean,국어
nephew,조카(남)
dream,꿈꾸다
bitter,쓴
cycling,자전거타기
humid,습한
surfing,서핑
doctor,의사
test,시험
swamp,늪
agree,동의하다
boat,보트
minus,빼기
bridge,다리(건축물)
cave,동굴
jogging,조깅
neighbor,이웃
wonderful,멋진
librarian,사서
flavor,맛
harbor,항구
cooking,요리하기
painting,그림 그리기
ship,배
designer,디자이너
August,8월
fry,튀기다
protect,보호하다
salty,짠
invent,발명하다
homework,숙제
nervous,긴장한
magician,마술사
snowy,눈오는
freezing,꽁꽁 언
cafeteria,급식실
finish,끝내다
astronaut,우주비행사
leave,떠나다
attend,참석하다
dentist,치과의사
second,초
shy,수줍은
wonder,궁금해하다
ambulance,구급차
sweet,달콤한
classmate,반친구
surprised,놀란
excited,신난
fresh,신선한
begin,시작하다
similar,비슷한
February,2월
waterfall,폭포
bookstore,서점
bake,굽다
table tennis,탁구
pond,연못
class,수업
July,7월
embarrassed,당황한
schedule,시간표
quiet,조용한
triangle,삼각형
jealous,질투하는
careless,부주의한
rainy,비오는
nurse,간호사
taekwondo,태권도
soldier,군인
comfortable,편안한
encourage,격려하다
actor,배우(남)
temple,절
discover,발견하다
partner,짝
May,5월
number,숫자
June,6월
golf,골프
collecting,수집하기
engineer,기술자
truck,트럭
spider,거미
path,길
journalist,기자
brave,용감한
subject,과목
forest,숲
participate,참가하다
grow,자라다
church,교회
subway,지하철
math,수학
insect,곤충
seed,씨앗
earthquake,지진
sunny,화창한
enter,들어가다
important,중요한
coast,해안
valley,계곡
special,특별한
boil,끓이다
hour,시간
lawyer,변호사
farmer,농부
curious,궁금한
useful,유용한
photographer,사진작가
lend,빌려주다
drawing,그리기
apologize,사과하다
cheap,싼
September,9월
fire truck,소방차
hope,바라다
count,세다
trust,믿다
famous,유명한
forget,잊다
measure,측정하다
hockey,하키
arrange,배열하다
polite,예의바른
train,기차
hiking,등산
careful,조심스러운
ant,개미
driver,운전사
planet,행성
rocket,로켓
choose,고르다
April,4월
leaf,잎
frozen,냉동된
skating,스케이트타기
discuss,의논하다
lake,호수
March,3월
December,12월
locker,사물함
athlete,운동선수
recipe,조리법
grandparent,조부모
mix,섞다
disagree,반대하다
describe,묘사하다
equal,같은
butterfly,나비
basketball,농구
January,1월
explain,설명하다
soccer,축구
promise,약속하다
expensive,비싼
airport,공항
respect,존중하다
baker,제빵사
cook,요리사
pilot,조종사
solve,풀다
art,미술
lonely,외로운
compare,비교하다
branch,나뭇가지
semester,학기
difficult,어려운
disappointed,실망한
post office,우체국
popular,인기있는
worried,걱정하는
organize,정리하다
fishing,낚시
rectangle,직사각형
stranger,낯선 사람
science,과학
island,섬
foggy,안개낀
guess,추측하다
dangerous,위험한
scared,무서워하는
warm,따뜻한
change,바꾸다
volcano,화산
guard,경비원
running,달리기
continue,계속하다
motorcycle,오토바이
plus,더하기
arrive,도착하다
remember,기억하다
dancing,춤추기
safe,안전한
holiday,휴일
ingredient,재료
uniform,교복
imagine,상상하다
firefighter,소방관
exit,나가다
jungle,정글
bank,은행
vet,수의사
cousin,사촌
bored,지루한
textbook,교과서
station,역
wish,소망하다
skiing,스키타기
museum,박물관
practice,연습하다
cool,시원한
noisy,시끄러운
farm,농장
