rectangle,직사각형
cloudy,흐린
practice,연습하다
useless,쓸모없는
cook,요리사
uncomfortable,불편한
designer,디자이너
November,11월
test,시험
collecting,수집하기
lend,빌려주다
bus,버스
astronaut,우주비행사
airport,공항
famous,유명한
nurse,간호사
love,사랑하다
careless,부주의한
safe,안전한
station,역
September,9월
waterfall,폭포
swimming,수영
important,중요한
shy,수줍은
subject,과목
lawyer,변호사
ingredient,재료
golf,골프
photographer,사진작가
relieved,안도하는
push,밀다
truck,트럭
tunnel,터널
salty,짠
collect,모으다
oval,타원
use,사용하다
principal,교장선생님
comfortable,편안한
special,특별한
lonely,외로운
tower,탑
pond,연못
wonderful,멋진
English,영어
fishing,낚시
share,나누다
explain,설명하다
boat,보트
wear,입다
want,원하다
carry,나르다
flavor,맛
tie,묶다
polite,예의바른
disappointed,실망한
forest,숲
hold,잡다
toy store,장난감 가게
art,미술
baseball,야구
scientist,과학자
minute,분
painting,그림 그리기
noisy,시끄러운
train,기차
driver,운전사
coast,해안
insect,곤충
rainy,비오는
holiday,휴일
borrow,빌리다
meet,만나다
take,가져가다
dentist,치과의사
cafeteria,급식실
cool,시원한
farm,농장
gardening,정원 가꾸기
buy,사다
foggy,안개낀
continue,계속하다
cousin,사촌
June,6월
popular,인기있는
minus,빼기
singing,노래하기
March,3월
brave,용감한
May,5월
branch,나뭇가지
April,4월
running,달리기
engineer,기술자
taxi,택시
introduce,소개하다
athlete,운동선수
finish,끝내다
proud,자랑스러운
need,필요하다
protect,보호하다
cooking,요리하기
spider,거미
subway,지하철
dancer,무용수
bored,지루한
fix,고치다
desert,사막
planet,행성
leave,떠나다
bridge,다리(건축물)
start,시작하다
December,12월
police officer,경찰관
journalist,기자
hiking,등산
fresh,신선한
jogging,조깅
similar,비슷한
windy,바람부는
firefighter,소방관
skiing,스키타기
cliff,절벽
trail,오솔길
kind,친절한
doctor,의사
promise,약속하다
bakery,빵집
vet,수의사
schedule,시간표
rocket,로켓
agree,동의하다
humid,습한
arrive,도착하다
pour,붓다
gymnastics,체조
surfing,서핑
snowy,눈오는
locker,사물함
careful,조심스러운
expensive,비싼
librarian,사서
Korean,국어
soccer,축구
judge,판사
guard,경비원
cut,자르다
farmer,농부
worried,걱정하는
