explain,설명하다
music,음악
locker,사물함
honest,정직한
foggy,안개낀
farm,농장
relieved,안도하는
comfortable,편안한
doctor,의사
tower,탑
insect,곤충
station,역
difficult,어려운
skiing,스키타기
gymnastics,체조
trust,믿다
coast,해안
uniform,교복
collect,모으다
diamond,다이아몬드 모양
borrow,빌리다
different,다른
lake,호수
February,2월
baseball,야구
scientist,과학자
warm,따뜻한
stranger,낯선 사람
soccer,축구
wonderful,멋진
English,영어
museum,박물관
attend,참석하다
writer,작가
test,시험
boil,끓이다
wish,소망하다
October,10월
invent,발명하다
post office,우체국
worried,걱정하는
art,미술
earthquake,지진
gym,체육관
dentist,치과의사
swimming,수영
prepare,준비하다
taxi,택시
singing,노래하기
nervous,긴장한
mix,섞다
January,1월
cook,요리사
careful,조심스러운
choose,고르다
compare,비교하다
island,섬
pond,연못
collecting,수집하기
hope,바라다
curious,궁금한
pilot,조종사
solve,풀다
theater,극장
taekwondo,태권도
measure,측정하다
cooking,요리하기
nurse,간호사
agree,동의하다
uncomfortable,불편한
July,7월
singer,가수
boat,보트
skating,스케이트타기
engineer,기술자
subway,지하철
butterfly,나비
harbor,항구
cave,동굴
waterfall,폭포
repair,고치다
March,3월
August,8월
vet,수의사
baking,빵 굽기
bus,버스
fire truck,소방차
hockey,하키
build,짓다
surfing,서핑
running,달리기
continue,계속하다
kind,친절한
useful,유용한
suggest,제안하다
trail,오솔길
airplane,비행기
flavor,맛
useless,쓸모없는
important,중요한
train,기차
holiday,휴일
tunnel,터널
special,특별한
partner,짝
spider,거미
toy store,장난감 가게
sweet,달콤한
painter,화가
o'clock,정각
embarrassed,당황한
seed,씨앗
volleyball,배구
jogging,조깅
humid,습한
golf,골프
safe,안전한
imagine,상상하다
cliff,절벽
bridge,다리(건축물)
discover,발견하다
camping,캠핑
change,바꾸다
hallway,복도
rainy,비오는
windy,바람부는
discuss,의논하다
snowy,눈오는
expensive,비싼
bee,벌
careless,부주의한
scared,무서워하는
bakery,빵집
ant,개미
grandparent,조부모
swamp,늪
niece,조카(여)
invite,초대하다
encourage,격려하다
protect,보호하다
enter,들어가다
leave,떠나다
freezing,꽁꽁 언
photographer,사진작가
bookstore,서점
leaf,잎
return,돌아오다/반납하다
hour,시간
lawyer,변호사
police officer,경찰관
complain,불평하다
plus,더하기
organize,정리하다
cheap,싼
admire,감탄하다
polite,예의바른
dancing,춤추기
church,교회
surprised,놀란
schedule,시간표
path,길
arrange,배열하다
rude,무례한
May,5월
boxing,권투
temple,절
proud,자랑스러운
cloudy,흐린
subject,과목
bake,굽다
November,11월
cycling,자전거타기
hiking,등산
grow,자라다
create,만들다
popular,인기있는
describe,묘사하다
semester,학기
Korean,국어
finish,끝내다
jealous,질투하는
introduce,소개하다
table tennis,탁구
desert,사막
triangle,삼각형
second,초
painting,그림 그리기
ambulance,구급차
guard,경비원
designer,디자이너
famous,유명한
actor,배우(남)
motorcycle,오토바이
arrive,도착하다
practice,연습하다
guess,추측하다
cousin,사촌
decide,결정하다
bitter,쓴
submarine,잠수함
fresh,신선한
principal,교장선생님
dream,꿈꾸다
equal,같은
baker,제빵사
cafeteria,급식실
city hall,시청
basketball,농구
excited,신난
plan,계획하다
begin,시작하다
judge,판사
weigh,무게를 재다
athlete,운동선수
meadow,초원
drawing,그리기
actress,배우(여)
dancer,무용수
lend,빌려주다
frozen,냉동된
disappointed,실망한
airport,공항
rectangle,직사각형
astronaut,우주비행사
doubt,의심하다
plant,식물
spicy,매운
minus,빼기
auditorium,강당
history,역사
shy,수줍은
bicycle,자전거
class,수업
square,정사각형
bank,은행
neighbor,이웃
count,세다
promise,약속하다
warn,경고하다
badminton,배드민턴
fishing,낚시
recipe,조리법
valley,계곡
start,시작하다
fry,튀기다
visit,방문하다
textbook,교과서
noisy,시끄러운
soldier,군인
oval,타원
classmate,반친구
math,수학
forest,숲
participate,참가하다
September,9월
lonely,외로운
magician,마술사
factory,공장
farmer,농부
driver,운전사
rocket,로켓
confused,혼란스러운
volcano,화산
science,과학
sunny,화창한
December,12월
similar,비슷한
nephew,조카(남)
root,뿌리
branch,나뭇가지
quiet,조용한
exit,나가다
gardening,정원 가꾸기
librarian,사서
ingredient,재료
dangerous,위험한
wonder,궁금해하다
disagree,반대하다
respect,존중하다
circle,원
cool,시원한
ship,배
salty,짠
apologize,사과하다
homework,숙제
number,숫자
planet,행성
forget,잊다
jungle,정글
remember,기억하다
April,4월
sour,신
firefighter,소방관
brave,용감한
June,6월
tennis,테니스
bored,지루한
minute,분
journalist,기자
truck,트럭
