context,맥락
creative,창의적인
sincere,진실한
graph,그래프
liquid,액체
effort,노력
gas,기체
emotional,감정적인
dedicate,바치다
median,중앙값
tolerate,견디다
technology,기술
material,재료
local,지역의
assignment,과제
democracy,민주주의
curious,호기심 많은
estimate,추정하다
considerate,배려하는
tradition,전통
nation,국가
hurricane,허리케인
volunteer,자원봉사자
curiosity,호기심
adapt,적응하다
opportunity,기회
stubborn,고집센
disease,질병
patience,인내심
strive,노력하다
fraction,분수
tolerant,관대한
population,인구
physical,신체적인
imagine,상상하다
freedom,자유
analyst,분석가
species,종(생물)
determined,단호한
instruction,지시
politician,정치인
probability,확률
knowledge,지식
natural,자연의
achieve,성취하다
competition,경쟁
opinion,의견
duty,의무
circuit,회로
habitat,서식지
force,힘
therapy,치료법
confident,자신감 있는
savanna,사바나
fail,실패하다
battery,건전지
compromise,타협하다
rule,규칙
participate,참여하다
record,기록하다
process,과정
independence,독립
hemisphere,반구
conclude,결론짓다
memory,기억
prevent,예방하다
guideline,지침
energy,에너지
volume,부피
solid,고체
editor,편집자
resource,자원
climate,기후
muscle,근육
temperature,온도
cooperate,협력하다
gravity,중력
available,이용 가능한
matter,물질
handle,다루다
besides,게다가
mental,정신적인
latitude,위도
protein,단백질
technician,기술자
ecosystem,생태계
evidence,증거
requirement,요구사항
manage,관리하다
organize,조직하다
improve,향상시키다
background,배경
atmosphere,대기
overcome,극복하다
pursue,추구하다
chemical,화학물질
wealth,부유함
consultant,상담가
avalanche,눈사태
practical,실용적인
adjust,조정하다
document,문서
procedure,절차
arrogant,거만한
generous,너그러운
globalization,세계화
tundra,툰드라
hypothesis,가설
pessimistic,비관적인
usually,보통
investigate,조사하다
struggle,애쓰다
trade,무역
succeed,성공하다
experiment,실험
delta,삼각주
agriculture,농업
recovery,회복
responsible,책임감 있는
ambitious,야심찬
translator,번역가
theory,이론
entrepreneur,사업가
sacrifice,희생하다
actually,실제로
glacier,빙하
orbit,궤도
standpoint,입장
precious,소중한
confidence,자신감
canyon,협곡
deadline,마감일
architect,건축가
information,정보
conclusion,결론
suddenly,갑자기
interpreter,통역가
certainly,확실히
factor,요인
global,전 세계적인
area,넓이
eventually,결국
instead,대신에
although,비록 ~이지만
hygiene,위생
responsibility,책임
especially,특히
reasonable,합리적인
compare,비교하다
otherwise,그렇지 않으면
