probably,아마도
motivate,동기를 부여하다
cooperation,협동
devote,헌신하다
confident,자신감 있는
experience,경험
publisher,출판인
flood,홍수
convince,설득하다
protein,단백질
responsibility,책임
environment,환경
area,넓이
medicine,약
observe,관찰하다
entrepreneur,사업가
liquid,액체
competition,경쟁
summarize,요약하다
statistics,통계
economist,경제학자
overcome,극복하다
confidence,자신감
modest,겸손한
wealth,부유함
rational,이성적인
vaccine,백신
average,평균
structure,구조
cope,대처하다
mental,정신적인
handle,다루다
guideline,지침
estimate,추정하다
politician,정치인
canyon,협곡
standard,기준
global,전 세계적인
equation,방정식
energy,에너지
chemical,화학물질
persuade,설득하다
participate,참여하다
reduce,줄이다
fraction,분수
compromise,타협하다
graph,그래프
immune,면역의
latitude,위도
sincere,진실한
calculate,계산하다
inspire,영감을 주다
reaction,반응
avalanche,눈사태
factor,요인
magnet,자석
local,지역의
longitude,경도
responsible,책임감 있는
record,기록하다
diplomat,외교관
stubborn,고집센
rule,규칙
determined,단호한
radius,반지름
context,맥락
temperature,온도
physical,신체적인
comfortable,편안한
evidence,증거
atmosphere,대기
valuable,귀중한
tolerant,관대한
fact,사실
suddenly,갑자기
culture,문화
arrogant,거만한
information,정보
diagram,도표
industry,산업
perspective,관점
drought,가뭄
survey,설문조사
recovery,회복
result,결과가 되다
cooperate,협력하다
agriculture,농업
conclusion,결론
report,보고하다
democracy,민주주의
force,힘
volunteer,자원봉사자
project,과제/프로젝트
law,법
meanwhile,그 동안에
probability,확률
tolerate,견디다
hemisphere,반구
modern,현대의
adjust,조정하다
resource,자원
curious,호기심 많은
volume,부피
median,중앙값
element,요소
evaluate,평가하다
equator,적도
digital,디지털의
technology,기술
habitat,서식지
manage,관리하다
although,비록 ~이지만
citizen,시민
certainly,확실히
angle,각도
savanna,사바나
emotional,감정적인
viewpoint,견해
government,정부
technician,기술자
investigate,조사하다
imagination,상상력
organize,조직하다
fail,실패하다
criteria,기준(복수)
practical,실용적인
besides,게다가
necessary,필요한
society,사회
consultant,상담가
instruction,지시
ecosystem,생태계
election,선거
muscle,근육
dedicate,바치다
archipelago,군도
especially,특히
globalization,세계화
compare,비교하다
social,사회적인
efficient,효율적인
editor,편집자
community,공동체
material,재료
duty,의무
requirement,요구사항
independence,독립
otherwise,그렇지 않으면
background,배경
population,인구
research,연구하다
continent,대륙
evolution,진화
logical,논리적인
skeleton,골격
eventually,결국
cause,원인이 되다
sacrifice,희생하다
virtual,가상의
orbit,궤도
however,그러나
oxygen,산소
honesty,정직함
argument,논쟁
certificate,증명서
inventor,발명가
tsunami,쓰나미
climate,기후
document,문서
traditional,전통적인
precious,소중한
aspect,측면
struggle,애쓰다
plateau,고원
improve,향상시키다
organ,장기
researcher,연구원
gas,기체
rainforest,열대우림
economy,경제
pollution,오염
generous,너그러운
prevent,예방하다
pursue,추구하다
assumption,가정
tax,세금
economic,경제적인
nation,국가
heritage,유산
solid,고체
accomplish,이루다
chart,차트
matter,물질
hypothesis,가설
nutrition,영양
create,창조하다
donate,기부하다
endure,견뎌내다
standpoint,입장
theory,이론
reason,이유
circuit,회로
peninsula,반도
creative,창의적인
vitamin,비타민
knowledge,지식
trade,무역
opportunity,기회
challenge,도전
ambitious,야심찬
disease,질병
affect,영향을 미치다
freedom,자유
decimal,소수
infection,감염
opinion,의견
tradition,전통
therapy,치료법
hurricane,허리케인
communicate,의사소통하다
strive,노력하다
poverty,가난
ratio,비율
percentage,백분율
usually,보통
effort,노력
translator,번역가
contribute,기여하다
natural,자연의
succeed,성공하다
imagine,상상하다
generally,일반적으로
actually,실제로
perimeter,둘레
formula,공식
gravity,중력
empower,힘을 실어주다
available,이용 가능한
resolve,해결하다
experiment,실험
pessimistic,비관적인
right,권리
situation,상황
analyze,분석하다
negotiate,협상하다
optimistic,낙관적인
deadline,마감일
assignment,과제
process,과정
delta,삼각주
argue,주장하다
instead,대신에
tundra,툰드라
geometry,기하학
system,체계
finally,마침내
hygiene,위생
reasonable,합리적인
interpreter,통역가
memory,기억
battery,건전지
political,정치적인
analyst,분석가
patience,인내심
sensitive,민감한
glacier,빙하
influence,영향을 주다
official,공식적인
ancient,고대의
cultural,문화적인
achievement,성취
communication,의사소통
courage,용기
curiosity,호기심
adapt,적응하다
discover,발견하다
component,구성요소
treatment,치료
conclude,결론짓다
solution,해결책
electricity,전기
schedule,일정
presentation,발표
sequence,수열
achieve,성취하다
therefore,그러므로
creativity,창의성
questionnaire,설문지
architect,건축가
species,종(생물)
diameter,지름
predict,예측하다
artificial,인공의
symptom,증상
humble,겸손한
carbon,탄소
cautious,신중한
procedure,절차
thoughtful,사려깊은
considerate,배려하는
