generally,일반적으로
certificate,증명서
citizen,시민
longitude,경도
humble,겸손한
curious,호기심 많은
muscle,근육
economic,경제적인
conclusion,결론
heritage,유산
result,결과가 되다
emotional,감정적인
courage,용기
comfortable,편안한
meanwhile,그 동안에
research,연구하다
society,사회
assignment,과제
persuade,설득하다
architect,건축가
translator,번역가
protein,단백질
communicate,의사소통하다
independence,독립
actually,실제로
editor,편집자
probability,확률
equation,방정식
estimate,추정하다
election,선거
observe,관찰하다
interpreter,통역가
oxygen,산소
canyon,협곡
hurricane,허리케인
questionnaire,설문지
cautious,신중한
honesty,정직함
drought,가뭄
negotiate,협상하다
therapy,치료법
struggle,애쓰다
volume,부피
creative,창의적인
opportunity,기회
local,지역의
trade,무역
otherwise,그렇지 않으면
curiosity,호기심
strive,노력하다
calculate,계산하다
precious,소중한
gas,기체
tsunami,쓰나미
archipelago,군도
necessary,필요한
reason,이유
experiment,실험
valuable,귀중한
treatment,치료
climate,기후
compare,비교하다
matter,물질
adapt,적응하다
process,과정
orbit,궤도
decimal,소수
therefore,그러므로
skeleton,골격
hypothesis,가설
overcome,극복하다
modern,현대의
although,비록 ~이지만
background,배경
consultant,상담가
influence,영향을 주다
entrepreneur,사업가
population,인구
participate,참여하다
percentage,백분율
recovery,회복
plateau,고원
presentation,발표
tolerant,관대한
continent,대륙
tolerate,견디다
improve,향상시키다
government,정부
eventually,결국
viewpoint,견해
