challenge,도전
social,사회적인
force,힘
technician,기술자
plateau,고원
document,문서
inventor,발명가
resolve,해결하다
component,구성요소
circuit,회로
latitude,위도
evidence,증거
culture,문화
dedicate,바치다
volume,부피
atmosphere,대기
vaccine,백신
battery,건전지
cautious,신중한
organize,조직하다
accomplish,이루다
recovery,회복
equation,방정식
gas,기체
viewpoint,견해
hypothesis,가설
agriculture,농업
confident,자신감 있는
wealth,부유함
context,맥락
politician,정치인
cooperate,협력하다
hemisphere,반구
handle,다루다
avalanche,눈사태
rational,이성적인
criteria,기준(복수)
compromise,타협하다
chart,차트
oxygen,산소
poverty,가난
sacrifice,희생하다
instead,대신에
finally,마침내
disease,질병
curiosity,호기심
publisher,출판인
communication,의사소통
geometry,기하학
procedure,절차
chemical,화학물질
analyst,분석가
democracy,민주주의
translator,번역가
presentation,발표
strive,노력하다
traditional,전통적인
rainforest,열대우림
experience,경험
requirement,요구사항
generally,일반적으로
material,재료
resource,자원
determined,단호한
standard,기준
industry,산업
pursue,추구하다
archipelago,군도
rule,규칙
modest,겸손한
sincere,진실한
stubborn,고집센
sequence,수열
generous,너그러운
cooperation,협동
information,정보
technology,기술
research,연구하다
statistics,통계
experiment,실험
investigate,조사하다
cause,원인이 되다
responsibility,책임
survey,설문조사
record,기록하다
trade,무역
physical,신체적인
system,체계
devote,헌신하다
reduce,줄이다
volunteer,자원봉사자
logical,논리적인
manage,관리하다
hygiene,위생
opinion,의견
succeed,성공하다
therefore,그러므로
glacier,빙하
economist,경제학자
vitamin,비타민
achievement,성취
cultural,문화적인
economic,경제적인
formula,공식
angle,각도
savanna,사바나
curious,호기심 많은
guideline,지침
canyon,협곡
conclude,결론짓다
responsible,책임감 있는
opportunity,기회
duty,의무
schedule,일정
improve,향상시키다
certificate,증명서
energy,에너지
fact,사실
immune,면역의
endure,견뎌내다
participate,참여하다
reason,이유
confidence,자신감
create,창조하다
project,과제/프로젝트
economy,경제
summarize,요약하다
theory,이론
freedom,자유
evolution,진화
flood,홍수
precious,소중한
empower,힘을 실어주다
available,이용 가능한
artificial,인공의
report,보고하다
environment,환경
knowledge,지식
sensitive,민감한
thoughtful,사려깊은
liquid,액체
negotiate,협상하다
gravity,중력
estimate,추정하다
magnet,자석
editor,편집자
competition,경쟁
political,정치적인
carbon,탄소
practical,실용적인
habitat,서식지
muscle,근육
area,넓이
donate,기부하다
ancient,고대의
tsunami,쓰나미
diplomat,외교관
compare,비교하다
organ,장기
independence,독립
delta,삼각주
inspire,영감을 주다
average,평균
deadline,마감일
nation,국가
argue,주장하다
decimal,소수
certainly,확실히
hurricane,허리케인
adjust,조정하다
reasonable,합리적인
assumption,가정
optimistic,낙관적인
actually,실제로
perimeter,둘레
situation,상황
architect,건축가
probability,확률
eventually,결국
pollution,오염
cope,대처하다
equator,적도
background,배경
tradition,전통
natural,자연의
effort,노력
standpoint,입장
solution,해결책
memory,기억
radius,반지름
imagination,상상력
local,지역의
overcome,극복하다
adapt,적응하다
solid,고체
creative,창의적인
however,그러나
drought,가뭄
pessimistic,비관적인
mental,정신적인
meanwhile,그 동안에
reaction,반응
influence,영향을 주다
percentage,백분율
perspective,관점
instruction,지시
government,정부
consultant,상담가
diameter,지름
patience,인내심
climate,기후
comfortable,편안한
persuade,설득하다
although,비록 ~이지만
fraction,분수
tolerant,관대한
diagram,도표
median,중앙값
global,전 세계적인
aspect,측면
assignment,과제
medicine,약
virtual,가상의
discover,발견하다
affect,영향을 미치다
courage,용기
tax,세금
protein,단백질
right,권리
nutrition,영양
imagine,상상하다
process,과정
peninsula,반도
result,결과가 되다
society,사회
ratio,비율
necessary,필요한
element,요소
contribute,기여하다
graph,그래프
especially,특히
achieve,성취하다
ambitious,야심찬
continent,대륙
law,법
argument,논쟁
considerate,배려하는
fail,실패하다
valuable,귀중한
therapy,치료법
skeleton,골격
observe,관찰하다
calculate,계산하다
honesty,정직함
modern,현대의
motivate,동기를 부여하다
ecosystem,생태계
evaluate,평가하다
questionnaire,설문지
prevent,예방하다
official,공식적인
heritage,유산
orbit,궤도
otherwise,그렇지 않으면
infection,감염
struggle,애쓰다
temperature,온도
communicate,의사소통하다
matter,물질
species,종(생물)
conclusion,결론
structure,구조
besides,게다가
community,공동체
suddenly,갑자기
election,선거
arrogant,거만한
probably,아마도
globalization,세계화
convince,설득하다
creativity,창의성
predict,예측하다
tolerate,견디다
treatment,치료
emotional,감정적인
usually,보통
researcher,연구원
entrepreneur,사업가
longitude,경도
efficient,효율적인
population,인구
citizen,시민
humble,겸손한
tundra,툰드라
analyze,분석하다
interpreter,통역가
symptom,증상
electricity,전기
digital,디지털의
factor,요인
