challenge,도전
social,사회적인
force,힘
technician,기술자
plateau,고원
document,문서
inventor,발명가
resolve,해결하다
component,구성요소
circuit,회로
latitude,위도
evidence,증거
culture,문화
dedicate,바치다
volume,부피
atmosphere,대기
vaccine,백신
battery,건전지
cautious,신중한
organize,조직하다
accomplish,이루다
recovery,회복
equation,방정식
gas,기체
viewpoint,견해
hypothesis,가설
agriculture,농업
confident,자신감 있는
wealth,부유함
context,맥락
politician,정치인
cooperate,협력하다
hemisphere,반구
handle,다루다
avalanche,눈사태
rational,이성적인
criteria,기준(복수)
compromise,타협하다
chart,차트
oxygen,산소
poverty,가난
sacrifice,희생하다
instead,대신에
finally,마침내
disease,질병
curiosity,호기심
publisher,출판인
communication,의사소통
geometry,기하학
procedure,절차
chemical,화학물질
analyst,분석가
democracy,민주주의
translator,번역가
presentation,발표
strive,노력하다
traditional,전통적인
rainforest,열대우림
experience,경험
requirement,요구사항
generally,일반적으로
material,재료
resource,자원
determined,단호한
standard,기준
industry,산업
pursue,추구하다
archipelago,군도
rule,규칙
modest,겸손한
sincere,진실한
stubborn,고집센
sequence,수열
generous,너그러운
cooperation,협동
information,정보
technology,기술
research,연구하다
statistics,통계
experiment,실험
investigate,조사하다
cause,원인이 되다
responsibility,책임
survey,설문조사
record,기록하다
trade,무역
physical,신체적인
system,체계
devote,헌신하다
reduce,줄이다
