apologize,사과하다
admire,감탄하다
o'clock,정각
pilot,조종사
hour,시간
invite,초대하다
visit,방문하다
holiday,휴일
quiet,조용한
Korean,국어
cloudy,흐린
October,10월
confused,혼란스러운
different,다른
kind,친절한
rectangle,직사각형
bicycle,자전거
running,달리기
surprised,놀란
harbor,항구
soldier,군인
nurse,간호사
guard,경비원
earthquake,지진
warn,경고하다
rainy,비오는
start,시작하다
hope,바라다
agree,동의하다
leave,떠나다
fire truck,소방차
proud,자랑스러운
create,만들다
September,9월
snowy,눈오는
tennis,테니스
humid,습한
dream,꿈꾸다
shy,수줍은
volleyball,배구
athlete,운동선수
semester,학기
cooking,요리하기
train,기차
repair,고치다
mix,섞다
excited,신난
museum,박물관
jungle,정글
homework,숙제
lonely,외로운
bitter,쓴
hallway,복도
salty,짠
bee,벌
swimming,수영
niece,조카(여)
count,세다
continue,계속하다
arrange,배열하다
photographer,사진작가
triangle,삼각형
wonder,궁금해하다
cave,동굴
post office,우체국
difficult,어려운
doctor,의사
seed,씨앗
imagine,상상하다
prepare,준비하다
special,특별한
decide,결정하다
disagree,반대하다
comfortable,편안한
polite,예의바른
engineer,기술자
painter,화가
ingredient,재료
coast,해안
forget,잊다
frozen,냉동된
arrive,도착하다
singer,가수
art,미술
June,6월
swamp,늪
equal,같은
camping,캠핑
librarian,사서
March,3월
golf,골프
windy,바람부는
fishing,낚시
pond,연못
bus,버스
promise,약속하다
badminton,배드민턴
history,역사
exit,나가다
theater,극장
bookstore,서점
protect,보호하다
sweet,달콤한
bakery,빵집
discover,발견하다
city hall,시청
second,초
explain,설명하다
embarrassed,당황한
collect,모으다
motorcycle,오토바이
bake,굽다
disappointed,실망한
subway,지하철
grow,자라다
doubt,의심하다
sour,신
suggest,제안하다
jogging,조깅
math,수학
judge,판사
return,돌아오다/반납하다
station,역
wonderful,멋진
cliff,절벽
lawyer,변호사
respect,존중하다
island,섬
square,정사각형
dangerous,위험한
classmate,반친구
English,영어
tunnel,터널
designer,디자이너
honest,정직한
partner,짝
lake,호수
August,8월
oval,타원
basketball,농구
locker,사물함
brave,용감한
minute,분
safe,안전한
noisy,시끄러운
December,12월
fresh,신선한
grandparent,조부모
leaf,잎
plus,더하기
