rectangle,직사각형
cloudy,흐린
practice,연습하다
useless,쓸모없는
cook,요리사
uncomfortable,불편한
designer,디자이너
November,11월
test,시험
collecting,수집하기
lend,빌려주다
bus,버스
astronaut,우주비행사
airport,공항
famous,유명한
nurse,간호사
love,사랑하다
careless,부주의한
safe,안전한
station,역
September,9월
waterfall,폭포
swimming,수영
important,중요한
shy,수줍은
subject,과목
lawyer,변호사
ingredient,재료
golf,골프
photographer,사진작가
relieved,안도하는
push,밀다
truck,트럭
tunnel,터널
salty,짠
collect,모으다
oval,타원
use,사용하다
principal,교장선생님
comfortable,편안한
special,특별한
lonely,외로운
tower,탑
pond,연못
wonderful,멋진
English,영어
fishing,낚시
share,나누다
explain,설명하다
boat,보트
wear,입다
want,원하다
carry,나르다
flavor,맛
tie,묶다
polite,예의바른
disappointed,실망한
forest,숲
hold,잡다
toy store,장난감 가게
art,미술
baseball,야구
scientist,과학자
minute,분
painting,그림 그리기
noisy,시끄러운
train,기차
driver,운전사
coast,해안
insect,곤충
rainy,비오는
holiday,휴일
borrow,빌리다
meet,만나다
take,가져가다
dentist,치과의사
cafeteria,급식실
cool,시원한
farm,농장
gardening,정원 가꾸기
buy,사다
foggy,안개낀
continue,계속하다
cousin,사촌
June,6월
popular,인기있는
minus,빼기
singing,노래하기
March,3월
brave,용감한
May,5월
branch,나뭇가지
April,4월
running,달리기
engineer,기술자
taxi,택시
introduce,소개하다
athlete,운동선수
finish,끝내다
proud,자랑스러운
need,필요하다
protect,보호하다
cooking,요리하기
spider,거미
subway,지하철
dancer,무용수
bored,지루한
fix,고치다
desert,사막
planet,행성
leave,떠나다
bridge,다리(건축물)
start,시작하다
December,12월
police officer,경찰관
journalist,기자
hiking,등산
fresh,신선한
jogging,조깅
similar,비슷한
windy,바람부는
firefighter,소방관
skiing,스키타기
cliff,절벽
trail,오솔길
kind,친절한
doctor,의사
promise,약속하다
bakery,빵집
vet,수의사
schedule,시간표
rocket,로켓
agree,동의하다
humid,습한
arrive,도착하다
pour,붓다
gymnastics,체조
surfing,서핑
snowy,눈오는
locker,사물함
careful,조심스러운
expensive,비싼
librarian,사서
Korean,국어
soccer,축구
judge,판사
guard,경비원
cut,자르다
farmer,농부
worried,걱정하는
meadow,초원
choose,고르다
excited,신난
useful,유용한
mix,섞다
motorcycle,오토바이
cheap,싼
cave,동굴
greet,인사하다
grandparent,조부모
class,수업
submarine,잠수함
boil,끓이다
repair,고치다
uniform,교복
forget,잊다
soldier,군인
singer,가수
touch,만지다
return,돌아오다/반납하다
confused,혼란스러운
number,숫자
scared,무서워하는
earthquake,지진
build,짓다
lead,이끌다
fry,튀기다
gym,체육관
camping,캠핑
visit,방문하다
math,수학
sell,팔다
July,7월
post office,우체국
ship,배
stranger,낯선 사람
curious,궁금한
different,다른
root,뿌리
taekwondo,태권도
ant,개미
August,8월
basketball,농구
pilot,조종사
leaf,잎
table tennis,탁구
freezing,꽁꽁 언
bee,벌
museum,박물관
nephew,조카(남)
hockey,하키
pull,당기다
invite,초대하다
seed,씨앗
semester,학기
bitter,쓴
neighbor,이웃
textbook,교과서
surprised,놀란
butterfly,나비
dangerous,위험한
volleyball,배구
magician,마술사
pick,고르다/따다
remember,기억하다
baking,빵 굽기
October,10월
lake,호수
like,좋아하다
disagree,반대하다
fire truck,소방차
actor,배우(남)
hide,숨다
auditorium,강당
music,음악
airplane,비행기
second,초
grow,자라다
cycling,자전거타기
city hall,시청
painter,화가
follow,따라가다
boxing,권투
sunny,화창한
actress,배우(여)
island,섬
path,길
find,찾다
change,바꾸다
temple,절
circle,원
factory,공장
exit,나가다
nervous,긴장한
February,2월
January,1월
ambulance,구급차
fill,채우다
honest,정직한
drawing,그리기
badminton,배드민턴
jungle,정글
bookstore,서점
make,만들다
theater,극장
o'clock,정각
tennis,테니스
plant,식물
valley,계곡
church,교회
history,역사
partner,짝
classmate,반친구
niece,조카(여)
swamp,늪
hour,시간
recipe,조리법
give,주다
bake,굽다
triangle,삼각형
sweet,달콤한
hallway,복도
decide,결정하다
harbor,항구
sour,신
bank,은행
bicycle,자전거
equal,같은
lose,잃다
prepare,준비하다
dancing,춤추기
spicy,매운
warm,따뜻한
skating,스케이트타기
difficult,어려운
enter,들어가다
jealous,질투하는
volcano,화산
plus,더하기
science,과학
quiet,조용한
homework,숙제
frozen,냉동된
rude,무례한
square,정사각형
writer,작가
embarrassed,당황한
baker,제빵사
begin,시작하다
diamond,다이아몬드 모양
