influence,영향을 주다
evaluate,평가하다
creative,창의적인
background,배경
adapt,적응하다
eventually,결국
habitat,서식지
heritage,유산
society,사회
project,과제/프로젝트
determined,단호한
savanna,사바나
argument,논쟁
effort,노력
experience,경험
freedom,자유
responsibility,책임
necessary,필요한
questionnaire,설문지
publisher,출판인
improve,향상시키다
pursue,추구하다
usually,보통
available,이용 가능한
persuade,설득하다
oxygen,산소
reasonable,합리적인
convince,설득하다
inventor,발명가
economic,경제적인
valuable,귀중한
generous,너그러운
electricity,전기
stubborn,고집센
researcher,연구원
consultant,상담가
guideline,지침
evolution,진화
argue,주장하다
architect,건축가
right,권리
precious,소중한
standard,기준
citizen,시민
optimistic,낙관적인
overcome,극복하다
cautious,신중한
certainly,확실히
traditional,전통적인
ambitious,야심찬
mental,정신적인
force,힘
compare,비교하다
actually,실제로
tradition,전통
element,요소
average,평균
community,공동체
editor,편집자
vitamin,비타민
evidence,증거
law,법
rule,규칙
cooperation,협동
theory,이론
logical,논리적인
emotional,감정적인
statistics,통계
natural,자연의
information,정보
confident,자신감 있는
tax,세금
imagination,상상력
virtual,가상의
equator,적도
curious,호기심 많은
donate,기부하다
context,맥락
agriculture,농업
result,결과가 되다
handle,다루다
median,중앙값
participate,참여하다
independence,독립
nation,국가
volume,부피
affect,영향을 미치다
situation,상황
besides,게다가
viewpoint,견해
component,구성요소
chart,차트
environment,환경
ecosystem,생태계
volunteer,자원봉사자
devote,헌신하다
patience,인내심
economist,경제학자
opportunity,기회
solid,고체
strive,노력하다
industry,산업
carbon,탄소
continent,대륙
investigate,조사하다
perimeter,둘레
organize,조직하다
analyze,분석하다
medicine,약
conclusion,결론
reaction,반응
canyon,협곡
modern,현대의
culture,문화
discover,발견하다
finally,마침내
tundra,툰드라
tolerant,관대한
magnet,자석
instruction,지시
reduce,줄이다
efficient,효율적인
opinion,의견
orbit,궤도
observe,관찰하다
inspire,영감을 주다
election,선거
solution,해결책
suddenly,갑자기
battery,건전지
therefore,그러므로
honesty,정직함
population,인구
equation,방정식
symptom,증상
democracy,민주주의
knowledge,지식
muscle,근육
cooperate,협력하다
climate,기후
probability,확률
temperature,온도
achievement,성취
radius,반지름
dedicate,바치다
deadline,마감일
schedule,일정
infection,감염
confidence,자신감
global,전 세계적인
resolve,해결하다
gas,기체
diplomat,외교관
pessimistic,비관적인
curiosity,호기심
estimate,추정하다
treatment,치료
diameter,지름
entrepreneur,사업가
geometry,기하학
material,재료
process,과정
plateau,고원
courage,용기
requirement,요구사항
rainforest,열대우림
presentation,발표
experiment,실험
achieve,성취하다
summarize,요약하다
government,정부
conclude,결론짓다
avalanche,눈사태
hypothesis,가설
nutrition,영양
comfortable,편안한
compromise,타협하다
circuit,회로
delta,삼각주
document,문서
probably,아마도
cope,대처하다
communicate,의사소통하다
pollution,오염
political,정치적인
fail,실패하다
especially,특히
hygiene,위생
competition,경쟁
digital,디지털의
fact,사실
duty,의무
local,지역의
hurricane,허리케인
resource,자원
hemisphere,반구
artificial,인공의
challenge,도전
peninsula,반도
immune,면역의
survey,설문조사
meanwhile,그 동안에
negotiate,협상하다
species,종(생물)
disease,질병
archipelago,군도
wealth,부유함
sensitive,민감한
assignment,과제
arrogant,거만한
struggle,애쓰다
memory,기억
standpoint,입장
assumption,가정
considerate,배려하는
fraction,분수
create,창조하다
perspective,관점
although,비록 ~이지만
official,공식적인
matter,물질
area,넓이
predict,예측하다
flood,홍수
sacrifice,희생하다
decimal,소수
contribute,기여하다
energy,에너지
succeed,성공하다
adjust,조정하다
skeleton,골격
longitude,경도
social,사회적인
sincere,진실한
reason,이유
factor,요인
creativity,창의성
interpreter,통역가
physical,신체적인
imagine,상상하다
glacier,빙하
graph,그래프
communication,의사소통
sequence,수열
atmosphere,대기
diagram,도표
certificate,증명서
therapy,치료법
accomplish,이루다
technology,기술
procedure,절차
protein,단백질
cultural,문화적인
economy,경제
criteria,기준(복수)
politician,정치인
humble,겸손한
vaccine,백신
practical,실용적인
otherwise,그렇지 않으면
rational,이성적인
technician,기술자
trade,무역
liquid,액체
chemical,화학물질
tolerate,견디다
percentage,백분율
angle,각도
responsible,책임감 있는
translator,번역가
organ,장기
latitude,위도
ancient,고대의
however,그러나
gravity,중력
aspect,측면
report,보고하다
modest,겸손한
endure,견뎌내다
motivate,동기를 부여하다
prevent,예방하다
generally,일반적으로
calculate,계산하다
globalization,세계화
ratio,비율
empower,힘을 실어주다
formula,공식
poverty,가난
tsunami,쓰나미
manage,관리하다
record,기록하다
instead,대신에
research,연구하다
drought,가뭄
recovery,회복
system,체계
structure,구조
analyst,분석가
thoughtful,사려깊은
cause,원인이 되다
