influence,영향을 주다
evaluate,평가하다
creative,창의적인
background,배경
adapt,적응하다
eventually,결국
habitat,서식지
heritage,유산
society,사회
project,과제/프로젝트
determined,단호한
savanna,사바나
argument,논쟁
effort,노력
experience,경험
freedom,자유
responsibility,책임
necessary,필요한
questionnaire,설문지
publisher,출판인
improve,향상시키다
pursue,추구하다
usually,보통
available,이용 가능한
persuade,설득하다
oxygen,산소
reasonable,합리적인
convince,설득하다
inventor,발명가
economic,경제적인
valuable,귀중한
generous,너그러운
electricity,전기
stubborn,고집센
researcher,연구원
consultant,상담가
guideline,지침
evolution,진화
argue,주장하다
architect,건축가
right,권리
precious,소중한
standard,기준
citizen,시민
optimistic,낙관적인
overcome,극복하다
cautious,신중한
certainly,확실히
traditional,전통적인
ambitious,야심찬
mental,정신적인
force,힘
compare,비교하다
actually,실제로
tradition,전통
element,요소
average,평균
community,공동체
editor,편집자
vitamin,비타민
evidence,증거
law,법
rule,규칙
cooperation,협동
theory,이론
logical,논리적인
emotional,감정적인
statistics,통계
natural,자연의
information,정보
confident,자신감 있는
tax,세금
imagination,상상력
virtual,가상의
equator,적도
curious,호기심 많은
donate,기부하다
context,맥락
agriculture,농업
result,결과가 되다
handle,다루다
median,중앙값
participate,참여하다
independence,독립
nation,국가
volume,부피
affect,영향을 미치다
situation,상황
besides,게다가
viewpoint,견해
