valuable,귀중한
background,배경
infection,감염
accomplish,이루다
savanna,사바나
researcher,연구원
evolution,진화
technology,기술
practical,실용적인
ancient,고대의
inspire,영감을 주다
rule,규칙
angle,각도
project,과제/프로젝트
fail,실패하다
necessary,필요한
latitude,위도
struggle,애쓰다
succeed,성공하다
devote,헌신하다
courage,용기
assignment,과제
compare,비교하다
overcome,극복하다
industry,산업
cope,대처하다
volume,부피
natural,자연의
continent,대륙
circuit,회로
political,정치적인
economy,경제
environment,환경
reduce,줄이다
architect,건축가
result,결과가 되다
archipelago,군도
hygiene,위생
research,연구하다
dedicate,바치다
actually,실제로
efficient,효율적인
atmosphere,대기
emotional,감정적인
honesty,정직함
area,넓이
finally,마침내
climate,기후
geometry,기하학
contribute,기여하다
local,지역의
situation,상황
criteria,기준(복수)
generous,너그러운
summarize,요약하다
communication,의사소통
energy,에너지
survey,설문조사
equator,적도
although,비록 ~이지만
muscle,근육
ambitious,야심찬
report,보고하다
handle,다루다
entrepreneur,사업가
calculate,계산하다
analyst,분석가
prevent,예방하다
manage,관리하다
battery,건전지
confident,자신감 있는
hemisphere,반구
ecosystem,생태계
ratio,비율
volunteer,자원봉사자
estimate,추정하다
presentation,발표
sacrifice,희생하다
cultural,문화적인
endure,견뎌내다
interpreter,통역가
freedom,자유
flood,홍수
graph,그래프
diagram,도표
immune,면역의
community,공동체
avalanche,눈사태
artificial,인공의
inventor,발명가
